date,open,high,low,close,volume
2017-09-15,169.5462,170.5158,166.9215,168.3122,1176681
2017-09-18,168.7529,168.9635,166.5788,167.3133,556803
2017-09-19,167.2839,168.1359,166.0107,167.5287,820442
2017-09-20,167.5287,168.2045,166.427,166.8628,715452
2017-09-21,167.4112,169.3378,166.569,169.1251,588869
2017-09-22,169.2916,173.7868,169.1545,171.6127,939925
2017-09-25,171.4364,174.6389,171.2209,173.6301,816710
2017-09-26,174.1296,178.4877,173.5315,177.8805,1016635
2017-09-27,178.3408,178.4877,176.1089,177.7826,755454
2017-09-28,177.8512,180.1429,177.1852,179.7805,812554
2017-09-29,179.3888,181.9057,178.8207,180.6325,467922
2017-10-02,181.5727,182.1114,178.8403,180.1037,830868
2017-10-03,180.799,181.9155,178.9383,181.2691,652118
2017-10-04,181.2985,182.0722,179.6042,181.9841,673349
2017-10-05,182.0624,186.7927,179.3594,179.6532,1388037
2017-10-06,179.7707,179.9638,176.9697,177.5867,794964
2017-10-09,177.9687,178.0715,175.2167,176.245,676981
2017-10-10,177.0775,177.0775,172.4304,173.5224,1264635
2017-10-11,173.4734,174.1982,172.22,173.258,641020
2017-10-12,173.0131,174.2275,172.2884,173.4441,700622
2017-10-13,174.3059,175.7358,172.69,175.0894,593356
2017-10-16,174.4822,174.4822,171.4609,173.1209,637973
2017-10-17,173.0229,173.0229,171.123,172.6997,798922
2017-10-18,172.7879,174.5948,171.8085,173.1405,632357
2017-10-19,172.8956,174.5507,171.8771,174.2863,381727
2017-10-20,175.1775,179.3594,175.1256,178.6934,894871
2017-10-23,178.7326,180.0841,177.1569,178.7326,1524855
2017-10-24,161.5449,165.1195,158.6656,159.8898,9479958
2017-10-25,159.3609,159.6351,156.413,157.6666,2353490
2017-10-26,157.8037,159.7331,157.2553,158.1759,1531097
2017-10-27,158.3032,159.5764,157.3141,158.078,1250981
2017-10-30,157.6764,158.647,157.2455,158.3228,910196
2017-10-31,158.4305,161.4274,157.3141,160.5459,1138772
2017-11-01,161.5938,163.9933,160.2522,161.0258,1137854
2017-11-02,160.3403,161.2658,157.6177,160.0367,985406
2017-11-03,160.1542,162.7936,159.9387,160.4774,951341
2017-11-06,160.1542,160.5361,159.1944,160.0465,496218
2017-11-07,159.9975,160.1238,158.7537,159.2042,732895
2017-11-08,159.3119,159.7012,158.4697,159.4099,543639
2017-11-09,158.4207,159.5568,157.9604,159.3805,680999
2017-11-10,159.1846,159.596,158.3424,158.7047,704511
2017-11-13,158.1661,159.1161,158.0975,158.3326,490846
2017-11-14,158.6264,158.6264,156.6677,157.6764,620105
2017-11-15,156.2857,158.8908,155.5218,158.2347,736745
2017-11-16,159.3193,162.174,159.0023,160.6111,639121
2017-11-17,160.1575,163.7665,159.4968,163.0959,808569
2017-11-20,163.5594,164.5257,162.4254,162.8987,553935
2017-11-21,163.5101,167.5135,161.9225,166.5275,1400855
2017-11-22,166.4486,167.0796,163.8552,164.3187,889597
2017-11-24,165.502,166.3993,164.506,165.4822,336316
2017-11-27,165.3639,165.6499,162.6325,162.7015,985763
2017-11-28,162.7212,165.4921,161.4887,165.147,1722203
2017-11-29,165.2357,167.8389,164.6934,166.6359,1420536
2017-11-30,167.5333,169.1849,164.7131,166.2218,988149
2017-12-01,166.0837,166.8233,162.2183,165.1273,776849
2017-12-04,167.0402,169.0124,165.9763,167.267,1098113
2017-12-05,166.4486,167.7206,164.368,166.7641,693498
2017-12-06,167.0304,168.4207,166.5472,166.7543,463325
2017-12-07,167.6812,168.894,166.6557,168.115,742880
2017-12-08,168.4996,168.4996,166.1232,167.336,579166
2017-12-11,166.9712,167.4938,164.3483,165.5315,1151762
2017-12-12,166.2908,166.4387,163.6679,164.1905,859185
2017-12-13,164.5948,165.8441,164.3285,164.7131,506064
2017-12-14,163.3425,165.5365,160.6505,161.6366,850373
2017-12-15,161.9718,162.81,160.9463,162.1986,1205687
2017-12-18,163.1551,163.6876,162.4353,163.0565,735926
2017-12-19,162.7212,164.5455,162.4057,163.7862,560960
2017-12-20,163.8848,164.3778,162.4747,162.5832,415073
2017-12-21,163.7862,168.4109,163.0368,167.2473,1240295
2017-12-22,167.1191,169.8998,166.6754,169.2885,705373
2017-12-26,169.318,170.7873,167.4051,167.7896,469556
2017-12-27,167.5727,168.4897,167.2769,167.7108,329494
2017-12-28,167.908,168.3813,166.8036,168.2925,281270
2017-12-29,168.1545,169.2838,165.9112,166.2908,399759
2018-01-02,166.8134,167.5826,164.6737,165.6499,675996
2018-01-03,165.9358,167.1857,165.5611,166.488,963157
2018-01-04,167.5431,167.8784,165.7583,166.4683,617559
2018-01-05,166.5275,166.9613,165.3935,166.133,561187
2018-01-08,166.2514,168.0559,165.566,166.6951,918863
2018-01-09,167.198,167.4642,165.6006,166.0246,1108711
2018-01-10,164.7131,164.7871,162.0409,163.8947,827694
2018-01-11,164.5356,166.9416,162.2282,166.6754,953738
2018-01-12,167.4445,170.5802,166.1429,170.3436,1081757
2018-01-16,170.5901,170.7824,165.3047,166.5965,844276
2018-01-17,167.4149,169.8998,166.1922,168.9926,805092
2018-01-18,169.5251,169.6533,164.3384,165.0582,1061482
2018-01-19,165.0286,165.4724,163.1946,165.1963,879683
2018-01-22,164.6244,164.6244,161.4887,164.3285,1109286
2018-01-23,173.7011,174.5344,168.0263,169.5843,2152063
2018-01-24,171.2606,179.3562,171.0634,176.4769,2261389
2018-01-25,177.5024,184.8585,176.5262,180.5395,2563883
2018-01-26,183.1526,184.3458,181.9299,183.3794,1472157
2018-01-29,181.8411,182.3243,179.6619,179.9577,968139
2018-01-30,179.1886,180.5395,177.5517,179.5337,843016
2018-01-31,180.4508,181.0424,177.9363,178.8928,822514
2018-02-01,178.1039,181.9299,177.8969,179.9479,799249
2018-02-02,178.7449,179.0604,174.7907,175.5796,852221
2018-02-05,174.5048,176.615,169.1406,169.4857,1295595
2018-02-06,166.2316,172.01,165.1766,171.3888,1298300
2018-02-07,170.7774,174.0019,169.0814,169.1307,862497
2018-02-08,168.6081,168.6179,162.6424,162.6522,933637
2018-02-09,165.9358,169.0124,161.3506,164.6835,1635862
2018-02-12,166.6754,170.0872,165.6893,168.6672,930899
2018-02-13,168.0263,169.2786,166.5373,167.8192,592143
2018-02-14,166.6261,170.2547,165.7386,168.825,751590
2018-02-15,170.4027,175.1161,169.0715,174.278,894907
2018-02-16,174.0019,177.4926,169.7618,170.2943,1288373
2018-02-20,169.8998,170.9253,165.4329,166.1528,1059071
2018-02-21,166.4979,166.8627,163.944,163.9735,1151983
2018-02-22,164.3187,166.3007,163.9341,166.133,679430
2018-02-23,167.3262,170.1508,166.133,169.0518,750272
2018-02-26,169.0518,169.249,163.9686,165.7485,1039596
2018-02-27,166.3204,167.1783,162.8987,162.9382,554284
2018-02-28,162.948,164.0192,159.6555,160.1673,1021155
2018-03-01,159.5418,162.7337,157.4768,159.4128,1439787
2018-03-02,158.5093,158.5093,155.243,157.5066,1086626
2018-03-05,156.8216,159.0435,156.7422,157.4371,880222
2018-03-06,158.3008,160.7332,158.3008,160.2566,837631
2018-03-07,159.5915,160.5843,156.5734,157.457,725010
2018-03-08,157.9732,158.5193,155.7593,157.6357,657192
2018-03-09,158.698,163.0563,157.3279,162.8776,973305
2018-03-12,163.5726,163.9498,161.7855,162.133,536100
2018-03-13,162.828,163.4237,160.9317,161.5473,457405
2018-03-14,162.6791,162.6791,158.7079,158.966,533572
2018-03-15,158.9958,159.7106,157.8342,159.3234,649559
2018-03-16,159.7106,161.5175,158.6185,158.6682,948434
2018-03-19,157.7548,157.8541,155.4217,156.8613,1088266
2018-03-20,157.7647,157.9236,154.894,156.1266,1064793
2018-03-21,156.6627,157.864,155.9876,157.0996,705835
2018-03-22,155.938,157.2386,154.3495,154.3595,804757
2018-03-23,154.7665,154.8757,151.3017,151.53,1155582
2018-03-26,153.5354,153.7836,151.3612,152.3342,668691
2018-03-27,152.3044,153.2177,150.4081,151.6988,751847
2018-03-28,151.6988,152.2796,149.1374,150.0805,797695
2018-03-29,150.984,153.0788,150.8648,152.0065,508315
2018-04-02,151.4506,151.7832,147.5489,149.3756,989868
2018-04-03,149.8224,151.0237,148.9537,150.1401,548791
2018-04-04,144.9478,150.7854,144.5407,150.5074,1491952
2018-04-05,151.8378,152.3937,150.568,151.5101,880964
2018-04-06,150.6266,150.8053,145.3449,147.4496,927931
2018-04-09,146.8738,148.4027,145.6626,145.7321,715066
2018-04-10,146.9631,149.4153,146.8639,148.7402,755913
2018-04-11,147.8368,149.4253,147.7177,147.8567,433652
2018-04-12,148.0354,148.9189,147.5985,147.9559,528897
2018-04-13,149.1671,149.7827,146.9036,147.5191,390938
2018-04-16,149.1969,153.0688,148.641,152.4632,973903
2018-04-17,153.4858,154.9651,152.3143,152.4235,835001
2018-04-18,152.6916,155.4217,152.6916,153.6049,534633
2018-04-19,152.8603,153.4858,149.3359,150.9145,576844
2018-04-20,150.567,151.4506,147.0426,148.2935,878458
2018-04-23,148.2935,149.6933,147.6581,149.2366,1122738
2018-04-24,155.8685,158.6086,154.4935,154.836,3734625
2018-04-25,154.3694,155.5012,152.8901,154.3595,1500229
2018-04-26,154.9948,155.531,152.1356,154.7268,1120827
2018-04-27,154.6672,157.0003,153.6546,156.6131,1006200
2018-04-30,156.6032,156.8414,153.6546,153.8333,901291
2018-05-01,153.0887,155.3423,151.6193,154.7963,1138966
2018-05-02,154.9353,155.1041,152.7313,153.1284,893810
2018-05-03,152.4831,152.8107,149.1274,150.6464,1510594
2018-05-04,150.1103,152.9993,150.0011,152.1952,1019232
2018-05-07,152.4334,153.6645,151.937,152.2944,1088776
2018-05-08,152.4533,154.1609,151.947,152.8703,726674
2018-05-09,152.9497,154.419,151.7881,153.4858,835239
2018-05-10,154.2602,155.7891,153.5851,154.4984,911937
2018-05-11,154.2205,155.521,153.9326,154.8459,746808
2018-05-14,154.9948,157.3081,154.8956,156.5138,1101509
2018-05-15,155.9082,156.8613,155.4615,156.1266,1757712
2018-05-16,156.2755,159.2738,156.0376,158.4101,2060618
2018-05-17,159.0,162.11,158.18,161.85,3897050
2018-05-18,161.98,164.23,161.26,162.68,3732876
2018-05-21,164.85,166.4,163.5,164.95,4571017
2018-05-22,165.0,167.54,164.25,164.3,6635106
2018-05-23,164.45,165.96,162.63,164.65,4099825
2018-05-24,157.94,158.8,150.75,151.01,6791684
2018-05-25,150.96,153.48,150.0,151.07,4434457
2018-05-29,149.4,150.91,148.798,149.99,1481645
2018-05-30,150.67,150.95,148.71,149.24,2370155
2018-05-31,148.8,148.885,143.45,144.75,3159596
