date,open,high,low,close,volume
2017-08-24,65.8402,66.2805,65.3216,65.4293,1070602
2017-08-25,65.6152,67.8754,65.4293,67.5819,2003875
2017-08-28,68.0026,69.5877,67.9048,69.5192,3135906
2017-08-29,69.167,70.6444,69.0496,70.028,2945777
2017-08-30,71.1899,73.3955,71.1505,71.9383,4058920
2017-08-31,71.8792,71.9383,69.4963,69.5456,2689769
2017-09-01,69.6046,69.9197,69.0434,69.0926,1397857
2017-09-05,69.841,71.0806,69.841,70.6878,1948366
2017-09-06,70.9831,72.0653,70.7616,71.6527,2167572
2017-09-07,71.6527,72.4798,71.5641,72.145,1369203
2017-09-08,72.1253,72.854,71.761,72.6078,805064
2017-09-11,72.5487,72.8392,71.0619,71.7118,2013260
2017-09-12,71.5739,72.1549,71.0299,71.6724,1245721
2017-09-13,71.7906,71.7906,71.0422,71.1653,1324604
2017-09-14,70.7665,70.7714,69.1419,69.6834,3375476
2017-09-15,69.5653,70.4613,69.1517,70.353,2340120
2017-09-18,70.5007,71.1899,70.2102,71.1407,1155647
2017-09-19,71.2588,71.7512,71.0422,71.4853,1041167
2017-09-20,71.8299,72.1352,71.2392,71.6724,1852773
2017-09-21,71.7512,72.2681,71.4065,71.8792,1051307
2017-09-22,72.0367,72.6669,71.6822,72.0072,1098037
2017-09-25,72.1647,72.8047,71.8004,72.785,1043687
2017-09-26,72.8638,73.9568,72.3616,73.7402,1945349
2017-09-27,74.0159,74.5673,73.7795,74.518,2092761
2017-09-28,74.5279,74.843,74.0946,74.3211,974758
2017-09-29,74.2128,74.9907,74.0946,74.9316,1348564
2017-10-02,75.1088,76.1919,74.4589,76.1132,1999740
2017-10-03,75.7882,75.8965,74.8823,74.9611,2355352
2017-10-04,74.8725,74.9808,73.1592,73.8682,1979359
2017-10-05,73.6417,74.9808,73.4645,74.8823,1869144
2017-10-06,74.7642,75.3944,74.5033,75.3451,1283807
2017-10-09,75.3747,75.5519,74.2325,74.2916,819552
2017-10-10,76.5464,77.6492,75.6799,75.9064,2526973
2017-10-11,75.8079,76.2412,75.2565,75.5224,857909
2017-10-12,75.7488,76.0639,75.2368,75.995,1062335
2017-10-13,77.3735,77.728,75.9655,76.0738,1655338
2017-10-16,76.9304,77.4917,75.2959,76.1427,1553186
2017-10-17,75.8768,76.1132,74.7839,74.8528,1586799
2017-10-18,74.7839,76.4775,74.7642,76.1525,1600981
2017-10-19,76.0738,76.8467,75.5716,76.7827,712644
2017-10-20,77.1766,77.4917,76.4282,77.0978,1471007
2017-10-23,77.472,77.5064,76.5956,77.2258,1052527
2017-10-24,77.5212,78.4271,75.8965,77.6197,1218294
2017-10-25,77.2258,77.6984,76.7433,77.3932,1221042
2017-10-26,78.4074,79.589,77.9446,78.368,2095430
2017-10-27,78.8505,78.8505,77.2947,78.5945,1649002
2017-10-30,78.4468,78.8012,76.8221,77.147,1665780
2017-10-31,77.0978,78.112,77.0978,77.3243,2280636
2017-11-01,79.6579,79.6973,76.635,78.112,3029706
2017-11-02,78.9194,80.101,77.3932,78.3286,4220585
2017-11-03,78.2794,78.9095,77.7772,78.2203,2348559
2017-11-06,78.2301,78.4369,77.1175,77.8658,2183166
2017-11-07,78.2695,79.5594,77.8855,79.264,2410823
2017-11-08,79.0277,79.6874,78.7668,79.392,1567423
2017-11-09,78.9785,79.845,78.9095,79.4413,2254907
2017-11-10,79.0769,79.2443,78.8111,79.0966,1115846
2017-11-13,79.1065,79.264,78.5649,79.1262,1185952
2017-11-14,78.8702,79.3723,78.7717,79.136,1016525
2017-11-15,78.8702,78.9588,78.2991,78.7225,1103824
2017-11-16,78.8406,79.2936,78.7225,79.1656,924803
2017-11-17,77.5409,78.0922,76.3298,77.2356,2570526
2017-11-20,77.403,77.728,77.0289,77.2258,1345557
2017-11-21,77.3735,77.787,77.0978,77.5803,1314633
2017-11-22,77.5015,78.5452,77.4917,78.0234,896786
2017-11-24,78.2301,78.6929,76.7039,78.4468,325519
2017-11-27,78.2794,78.8111,78.1415,78.3188,1067986
2017-11-28,78.9686,80.3767,78.496,80.2782,1405490
2017-11-29,80.1502,83.2617,79.8942,83.1928,2180711
2017-11-30,83.0549,85.8316,83.0549,85.3196,3268456
2017-12-01,85.2704,85.6888,83.2617,85.2113,2029013
2017-12-04,86.2058,87.7418,85.2507,85.4279,2544671
2017-12-05,85.5953,86.0285,84.394,84.6008,1632279
2017-12-06,84.4039,85.9892,84.1479,85.8119,1479818
2017-12-07,85.5165,86.4027,85.103,86.0778,1708874
2017-12-08,86.0679,87.0526,85.7627,87.023,1251442
2017-12-11,86.9246,87.0623,86.2649,86.6193,963171
2017-12-12,86.8359,87.0821,86.0778,86.6489,912938
2017-12-13,86.7375,87.1806,86.2353,86.4224,1523452
2017-12-14,86.6981,86.6981,84.3054,84.4728,2319452
2017-12-15,84.7401,85.8785,84.3342,85.344,3197453
2017-12-18,86.0072,86.9081,85.4925,86.2844,1819823
2017-12-19,85.9082,86.4329,85.5519,85.7597,1093921
2017-12-20,86.4428,86.7794,85.8488,85.8785,1250849
2017-12-21,86.1062,86.3834,85.4925,86.2547,946693
2017-12-22,86.3438,88.3435,86.0171,87.8089,1352043
2017-12-26,87.71,88.8187,87.5714,87.898,741034
2017-12-27,88.0762,88.8929,87.3288,88.6009,674476
2017-12-28,88.6108,88.6504,87.4823,88.5613,756059
2017-12-29,88.7989,88.987,88.1554,88.195,637881
2018-01-02,88.8385,89.1741,87.9277,88.8385,988833
2018-01-03,88.2841,88.6999,87.5615,88.591,1214307
2018-01-04,89.4325,89.6998,88.2841,88.8187,1610755
2018-01-05,89.1751,89.7542,88.3336,88.6702,902520
2018-01-08,88.492,90.2937,88.492,89.8681,1083300
2018-01-09,89.9967,91.4817,89.9967,90.5412,1932576
2018-01-10,90.462,91.4718,90.17,90.5214,1043081
2018-01-11,90.7689,93.0607,90.759,92.9765,1060314
2018-01-12,93.0854,93.5606,92.2835,93.3329,983297
2018-01-16,93.5507,94.0061,91.848,92.0361,1601263
2018-01-17,92.333,92.6845,91.7589,92.046,1104289
2018-01-18,92.1944,93.6002,91.4124,92.7389,1378418
2018-01-19,93.0953,94.3229,92.6498,94.2041,1622302
2018-01-22,93.917,94.7089,93.1448,94.4713,972481
2018-01-23,94.2734,94.6891,93.3824,93.9467,1021518
2018-01-24,94.1645,95.5504,93.3725,95.2138,1765635
2018-01-25,95.6791,97.6689,95.3524,95.5603,2246832
2018-01-26,96.3622,99.1736,95.6098,95.7583,2835747
2018-01-29,95.3227,96.6492,95.1049,95.3425,2123159
2018-01-30,94.7881,95.8573,93.8675,93.9764,3124657
2018-01-31,91.0164,94.9267,89.4028,90.5412,7558735
2018-02-01,90.3333,91.749,89.2697,91.056,2107356
2018-02-02,90.2541,91.3332,89.6503,90.8679,2046080
2018-02-05,90.3234,91.1946,89.383,89.4226,2989152
2018-02-06,88.0861,90.462,87.1524,89.8582,2467031
2018-02-07,89.5612,92.7043,89.5612,91.6401,2069344
2018-02-08,91.7391,92.2043,89.5612,89.5612,1641312
2018-02-09,89.9275,90.3432,86.2854,88.4524,2591415
2018-02-12,88.9969,90.4125,88.4623,90.264,1357120
2018-02-13,89.8582,92.3132,89.4919,91.7886,1182067
2018-02-14,89.8087,92.2835,89.1355,91.5015,1482291
2018-02-15,91.6104,92.0163,90.5214,92.0163,1382891
2018-02-16,91.947,92.5706,91.4025,91.6896,876159
2018-02-20,91.5708,92.0262,88.7395,89.0662,1204381
2018-02-21,89.1058,90.6452,89.1058,89.2741,1219977
2018-02-22,89.6998,90.1551,88.9573,89.185,982201
2018-02-23,89.4127,91.7391,89.2454,91.6995,1003426
2018-02-26,92.0658,93.719,91.4866,93.6794,854077
2018-02-27,93.8576,94.7089,92.5211,92.531,1147471
2018-02-28,92.7785,93.7388,92.0559,92.4221,1573022
2018-03-01,92.2331,92.7106,89.0794,89.2386,1863346
2018-03-02,88.0845,89.4873,87.6966,89.0496,1418570
2018-03-05,88.7511,89.5072,87.2986,89.3182,1303700
2018-03-06,89.7062,90.3727,89.1789,89.5271,941156
2018-03-07,88.6516,89.7659,87.4976,89.547,1183496
2018-03-08,89.6664,89.9151,88.7809,89.1391,1045720
2018-03-09,89.547,91.3178,88.8008,91.2681,1630576
2018-03-12,91.5665,92.0341,90.2334,90.5617,783624
2018-03-13,90.9398,91.7954,90.4871,91.2382,937042
2018-03-14,91.288,91.3377,89.1291,89.2784,946788
2018-03-15,89.5171,90.2633,89.2386,89.8156,752521
2018-03-16,90.1439,91.9744,89.6166,91.666,1817346
2018-03-19,91.6461,93.5762,91.3875,92.1535,1255749
2018-03-20,92.3923,93.1484,91.5765,92.5912,716245
2018-03-21,92.6211,93.9443,92.5614,93.1384,904693
2018-03-22,92.4022,93.4667,90.7408,92.1834,1229035
2018-03-23,92.1038,92.84,90.323,90.3926,1517578
2018-03-26,91.4671,92.5714,91.2134,92.2828,927021
2018-03-27,92.452,93.228,90.7806,91.089,943444
2018-03-28,91.288,91.7257,90.1887,91.2183,847195
2018-03-29,91.4074,93.6458,91.4074,93.228,1333236
2018-04-02,93.0489,93.2081,91.1587,91.7556,1614137
2018-04-03,92.1237,93.1981,91.7257,93.1484,1298477
2018-04-04,92.1038,94.0935,91.9545,93.8746,1114916
2018-04-05,94.4715,94.4914,91.7655,92.8101,1688406
2018-04-06,92.2828,92.6211,89.2983,90.0146,1507323
2018-04-09,90.1638,92.0142,89.9847,91.099,1083152
2018-04-10,92.3923,93.8945,92.2232,93.6358,1655616
2018-04-11,93.1683,93.795,92.6509,93.4667,728779
2018-04-12,93.7552,95.8146,93.6657,94.9192,1218676
2018-04-13,94.9391,95.4962,93.3971,93.7851,1290330
2018-04-16,96.5508,98.1525,95.536,97.1178,2290926
2018-04-17,97.8341,97.9933,94.7302,95.536,1794318
2018-04-18,96.0832,96.0832,94.4516,94.4516,1834730
2018-04-19,94.0039,94.8297,93.5962,93.805,2094791
2018-04-20,94.1333,94.1432,92.6907,93.1981,1151516
2018-04-23,93.029,93.8746,92.5415,93.228,1047971
2018-04-24,93.7552,94.0636,91.0293,91.8849,1267365
2018-04-25,92.0739,92.636,91.6859,92.1137,1180025
2018-04-26,92.5912,92.8449,89.8255,90.8503,1882355
2018-04-27,90.8105,91.6859,90.2931,91.5268,972789
2018-04-30,91.6163,92.2629,91.3377,91.5566,1455982
2018-05-01,91.5665,91.7108,89.6664,90.1837,1660082
2018-05-02,84.0653,86.2043,82.0657,82.4736,4962308
2018-05-03,81.9562,83.3988,80.4142,82.1751,2740426
2018-05-04,81.23,82.4338,80.464,82.1154,1449927
2018-05-07,82.1353,82.8019,81.5682,82.006,1203441
2018-05-08,82.1552,84.0554,81.9463,83.4983,1712620
2018-05-09,83.6375,84.125,82.8218,83.0605,1376645
2018-05-10,83.3789,84.2941,83.1511,84.1449,1506148
2018-05-11,84.3638,86.3634,84.1648,85.9954,1383141
2018-05-14,86.1943,86.5127,84.8413,85.2393,1045319
2018-05-15,84.911,85.2691,84.3041,84.7418,1454851
2018-05-16,84.7816,85.6472,84.6523,85.299,1025040
2018-05-17,85.4183,87.5175,85.336,87.1096,1729265
2018-05-18,87.04,88.7809,86.8211,88.0448,1752590
2018-05-21,88.3134,89.7559,88.0448,89.4475,947760
2018-05-22,89.3082,89.7708,87.7165,87.8955,1229390
2018-05-23,87.5374,87.5374,86.3933,86.9902,1615386
2018-05-24,87.04,87.796,86.9703,87.5473,928976
2018-05-25,87.3583,87.9353,87.229,87.7761,670926
2018-05-29,87.4578,87.8035,86.3734,87.4777,963251
2018-05-30,87.8955,89.5868,87.7761,88.97,941990
2018-05-31,88.95,89.1483,86.94,87.0,1295276
