date,open,high,low,close,volume
2017-08-17,90.2961,90.4929,89.0562,89.2038,13837463
2017-08-18,88.8692,90.0796,88.7511,89.2924,13040738
2017-08-21,89.4006,89.4892,88.7216,89.1841,11502065
2017-08-22,89.6171,90.2469,89.5482,90.0993,9211781
2017-08-23,89.4203,90.8668,89.3908,90.2075,8811292
2017-08-24,90.4634,90.6504,89.9517,90.0599,8623165
2017-08-25,90.4142,91.0046,90.3355,90.424,11794644
2017-08-28,90.6897,90.7192,89.6762,90.1387,7292915
2017-08-29,89.007,89.8533,88.8692,89.6466,10886082
2017-08-30,89.7942,90.4093,89.7352,89.8533,9165342
2017-08-31,90.3453,90.3847,89.3514,89.44,13217404
2017-09-01,89.7942,90.8865,89.499,90.2371,9815834
2017-09-05,89.5679,89.6516,87.604,88.082,17031549
2017-09-06,88.5642,89.0731,88.2099,88.6724,11845663
2017-09-07,88.6724,88.6921,86.6748,87.1176,14592255
2017-09-08,86.9011,87.9934,86.8323,87.0094,14242198
2017-09-11,87.9639,88.8102,87.5309,88.3575,13219047
2017-09-12,88.7315,89.7942,88.6626,89.44,14003776
2017-09-13,89.1644,90.0402,88.8791,89.6958,12485428
2017-09-14,89.745,90.0698,89.2924,89.5187,10562826
2017-09-15,89.6269,90.2469,89.3121,90.1583,18171794
2017-09-18,90.4634,91.6492,90.3847,91.4376,11318699
2017-09-19,91.2309,92.8546,91.044,92.4413,12626131
2017-09-20,92.5988,93.7698,92.215,93.0908,15311581
2017-09-21,92.953,93.8485,92.6873,93.5139,10851489
2017-09-22,93.1892,93.4647,92.9235,93.3171,8358310
2017-09-25,93.0022,93.3663,91.9591,92.6185,10463432
2017-09-26,92.2839,92.5299,91.8519,92.2052,9358111
2017-09-27,93.4549,94.1929,93.0711,93.6615,15090226
2017-09-28,94.065,94.3504,93.3958,93.8583,10270398
2017-09-29,93.7796,93.9961,93.5041,93.9863,11438412
2017-10-02,94.2421,95.3344,93.9371,95.2951,13797213
2017-10-03,95.2852,95.8756,95.23,95.7969,9633452
2017-10-04,95.7477,95.8855,94.744,94.8227,12166633
2017-10-05,95.0207,96.4064,94.5753,96.0996,14236219
2017-10-06,96.5549,96.644,95.4859,95.9313,10231853
2017-10-09,95.9709,96.0798,95.1593,95.4265,7765100
2017-10-10,95.4711,96.1887,95.2583,96.1392,10631527
2017-10-11,95.8423,96.0204,95.1593,95.8521,14283617
2017-10-12,96.3075,96.5054,94.6446,95.0108,18251616
2017-10-13,94.506,95.7235,93.9913,94.8821,13190576
2017-10-16,95.3572,96.9508,95.3572,96.8419,12434009
2017-10-17,97.0696,97.1775,96.3273,96.6242,10335687
2017-10-18,97.1488,97.5447,96.6341,96.9904,10158626
2017-10-19,96.1986,97.1983,96.0996,97.1092,9133863
2017-10-20,98.2673,98.871,97.723,98.4949,15326608
2017-10-23,98.4949,98.97,98.2277,98.3266,9238624
2017-10-24,98.8611,100.1578,98.7424,99.8905,13000801
2017-10-25,100.2172,100.4151,99.168,100.0093,12857533
2017-10-26,100.3161,101.3753,100.2864,100.7022,13054361
2017-10-27,100.3953,101.1835,100.0192,100.7319,10400446
2017-10-30,100.0984,100.8902,99.841,100.3755,8839456
2017-10-31,100.3359,100.6626,99.5441,99.5837,8690197
2017-11-01,100.0687,100.6626,99.7025,99.8905,8418239
2017-11-02,99.841,100.7269,99.1383,100.5537,8731788
2017-11-03,100.0687,100.4894,99.7025,100.3755,7103513
2017-11-06,100.3062,100.6501,99.6332,99.752,8121544
2017-11-07,99.5342,99.7223,97.2478,97.7427,18822583
2017-11-08,97.2676,97.3665,96.159,96.644,18524671
2017-11-09,96.1293,97.2131,95.8225,96.6341,13680578
2017-11-10,96.8123,97.3368,96.5054,96.5153,9314009
2017-11-13,95.7037,97.0498,95.6344,96.8617,9303072
2017-11-14,96.347,96.7826,95.862,96.2778,11043772
2017-11-15,95.4067,97.7328,94.9712,97.1884,15384080
2017-11-16,97.5249,98.0495,97.3072,97.4655,9808033
2017-11-17,96.8222,97.4061,96.5747,97.1389,9017866
2017-11-20,97.4457,98.1336,96.7628,98.0,9483200
2017-11-21,98.485,98.5345,97.901,97.9208,13389407
2017-11-22,98.0198,98.5087,97.5843,97.6338,7342248
2017-11-24,97.8218,97.8911,97.2577,97.3171,3680043
2017-11-27,97.3072,98.1188,96.931,96.931,13076207
2017-11-28,97.2082,100.6626,96.9706,100.326,16772956
2017-11-29,101.3653,103.1569,100.9199,102.6719,21105546
2017-11-30,103.6716,105.572,102.9787,103.4538,23945890
2017-12-01,103.8299,104.2417,101.1575,103.7211,19683510
2017-12-04,106.6311,107.2942,105.6809,105.859,23576608
2017-12-05,106.0768,106.3143,103.0579,104.6416,17193948
2017-12-06,104.3347,104.6812,103.4588,103.8596,15476226
2017-12-07,102.8896,104.112,102.6719,103.5528,13371781
2017-12-08,104.0081,104.8593,103.2756,104.8494,13506869
2017-12-11,104.6416,104.9781,104.2357,104.5426,10591228
2017-12-12,104.8395,106.2747,104.4634,105.76,15508840
2017-12-13,105.6116,106.0174,104.404,104.4337,15020293
2017-12-14,104.9336,105.3641,103.5726,103.5924,13034232
2017-12-15,104.6416,105.4334,104.1269,105.0573,29350598
2017-12-18,106.2153,106.5321,105.3938,105.8689,12713148
2017-12-19,106.1955,106.3935,105.3542,105.4235,12149937
2017-12-20,106.5123,106.6316,105.0078,105.0573,13091473
2017-12-21,105.5423,106.9676,105.473,106.73,12323670
2017-12-22,107.027,107.3536,105.7155,106.3539,14573385
2017-12-26,106.1065,106.8884,105.3146,105.9283,7403739
2017-12-27,105.5819,106.1955,105.5819,106.1263,9496548
2017-12-28,106.3044,106.7399,106.067,106.6904,7440555
2017-12-29,106.9874,107.1755,105.8491,105.8491,8925701
2018-01-02,106.5321,106.9181,105.7161,106.8488,13578835
2018-01-03,106.7597,107.3833,106.3836,106.9577,11901037
2018-01-04,107.8133,109.4749,107.6541,108.4899,12953656
2018-01-05,108.7088,108.9973,107.2313,107.7934,14154974
2018-01-08,107.6044,108.1317,107.1567,107.9526,12466512
2018-01-09,108.1715,109.0769,107.9427,108.4998,13292310
2018-01-10,108.9177,110.1415,108.8381,109.6938,15834468
2018-01-11,110.1117,110.3694,109.4958,110.2808,13676788
2018-01-12,111.0867,112.2807,110.2808,112.1016,18884229
2018-01-16,110.9474,112.8577,110.5097,111.7036,22703336
2018-01-17,111.3255,112.7242,110.7484,112.42,14940266
2018-01-18,112.1911,113.1489,111.7036,112.6886,14572911
2018-01-19,113.3652,113.7632,112.2349,112.4399,18785468
2018-01-22,112.0916,113.8129,111.9324,113.7532,12475654
2018-01-23,113.0965,114.0616,112.7781,113.6338,12320751
2018-01-24,114.2805,115.4148,114.0815,115.0864,15904504
2018-01-25,115.4546,115.5839,114.4944,115.1163,13509957
2018-01-26,115.1163,115.7332,114.38,115.7332,13883875
2018-01-29,115.4347,116.7609,115.4347,115.6138,11679919
2018-01-30,114.9472,116.0118,114.3999,114.5293,14279124
2018-01-31,115.0665,116.0714,114.579,115.0864,13141423
2018-02-01,115.1859,116.3948,114.8974,116.2804,13800613
2018-02-02,115.9023,116.3301,113.5144,113.7035,16477307
2018-02-05,112.4299,114.0119,103.4554,108.2511,30097591
2018-02-06,106.3109,111.9125,106.0722,111.5444,33114833
2018-02-07,110.9872,113.8726,110.5853,112.3006,21878324
2018-02-08,112.5394,112.5394,107.2959,107.3357,27425837
2018-02-09,108.5496,110.4898,105.694,109.4848,28188027
2018-02-12,110.6091,112.1563,109.5147,111.1763,18043325
2018-02-13,110.7584,112.4797,110.241,111.8628,16358181
2018-02-14,112.0618,114.6885,111.9623,114.4497,15186858
2018-02-15,115.1561,115.3999,113.6438,114.9273,12130197
2018-02-16,113.9721,115.4844,113.9223,114.1014,13214253
2018-02-20,114.0716,114.8079,113.395,114.1313,13461495
2018-02-21,114.4198,116.8575,114.0915,114.6089,14212461
2018-02-22,114.9173,115.8376,114.181,114.3999,17070356
2018-02-23,114.7283,116.7978,114.7283,116.7182,12162523
2018-02-26,117.544,118.3002,116.7281,118.1708,16511229
2018-02-27,118.3101,118.728,116.758,116.7679,17563345
2018-02-28,117.2256,117.8922,114.7581,114.9173,17735637
2018-03-01,114.8974,116.0542,112.0817,112.8577,18690017
2018-03-02,111.823,112.9871,110.5594,112.7483,18353697
2018-03-05,111.4847,115.3402,111.3255,114.4795,13933039
2018-03-06,115.0566,115.2357,113.7433,114.579,10674360
2018-03-07,113.1761,114.5193,112.5394,114.1512,13006514
2018-03-08,114.5293,114.6487,112.6389,114.1611,11173721
2018-03-09,115.962,117.4843,115.0864,117.4445,15366583
2018-03-12,117.4047,118.1509,116.6585,117.0664,12339295
2018-03-13,117.6037,117.8723,115.2456,115.6635,13312340
2018-03-14,115.972,116.0018,114.0218,114.3701,12905124
2018-03-15,115.2854,115.4148,114.2507,114.6586,8747977
2018-03-16,114.7581,116.0132,114.7581,114.8576,19888948
2018-03-19,114.5193,114.8676,112.7284,113.9522,13214919
2018-03-20,114.2905,114.8626,113.8676,114.0616,9921175
2018-03-21,114.2308,116.0416,113.6338,114.1611,13632983
2018-03-22,112.6289,113.0269,108.9874,109.3953,22550426
2018-03-23,109.7137,110.3604,106.2214,106.4701,23081509
2018-03-26,108.6391,110.5992,108.0969,109.7535,20217469
2018-03-27,110.5097,111.1265,106.7587,107.6243,18039921
2018-03-28,107.7337,108.6191,106.112,107.4551,19189269
2018-03-29,107.9526,110.2211,107.2362,109.4152,13274639
2018-04-02,109.4053,110.1714,105.5448,107.3059,18822525
2018-04-03,107.8133,108.9501,106.7189,108.7784,14050737
2018-04-04,106.5597,110.6489,106.4801,110.4301,15302608
2018-04-05,111.63,112.83,111.39,111.88,16627035
2018-04-06,110.55,111.55,107.82,109.09,18906018
2018-04-09,110.01,112.98,109.89,110.4,15974349
2018-04-10,112.13,112.87,111.42,112.51,14003640
2018-04-11,111.66,111.81,110.515,110.62,14503294
2018-04-12,111.56,114.39,111.5,113.37,16435523
2018-04-13,115.02,115.15,109.05,110.3,39152760
2018-04-16,110.94,111.47,109.79,110.21,16580538
2018-04-17,111.37,111.92,109.99,110.21,15501350
2018-04-18,110.53,111.07,108.89,109.32,16081436
2018-04-19,109.53,111.87,109.5,111.72,17910955
2018-04-20,112.3,112.74,110.88,111.47,15584384
2018-04-23,111.57,111.95,110.63,110.93,11285831
2018-04-24,111.75,112.9,109.59,110.41,16453112
2018-04-25,110.27,110.53,108.6,109.99,13546110
2018-04-26,109.97,110.82,109.34,110.1,10299488
2018-04-27,109.55,110.1599,109.13,109.4,9383967
2018-04-30,109.75,110.3,108.75,108.78,13744860
2018-05-01,108.45,108.97,107.54,108.78,10503353
2018-05-02,108.11,109.49,107.73,107.92,12162086
2018-05-03,107.59,107.77,105.181,107.24,15379091
2018-05-04,106.43,108.74,105.98,108.43,11967906
2018-05-07,108.76,109.68,108.36,109.37,9356721
2018-05-08,109.53,111.34,109.28,110.99,12543228
2018-05-09,111.44,113.64,111.03,113.41,11368094
2018-05-10,113.19,114.44,112.75,114.29,9159709
2018-05-11,114.49,114.73,113.67,113.86,10253045
2018-05-14,114.11,114.7,113.74,113.9,8710654
2018-05-15,113.91,113.91,112.57,113.03,11536212
2018-05-16,112.89,113.69,112.63,113.34,7571089
2018-05-17,113.2,113.41,112.2,112.96,8617204
2018-05-18,112.75,112.8,110.84,111.13,11806349
2018-05-21,112.05,112.54,111.92,112.15,9441931
2018-05-22,112.35,114.2852,112.29,113.01,11507550
2018-05-23,112.51,112.77,111.12,112.49,11453916
2018-05-24,112.14,112.15,110.115,111.23,14084769
2018-05-25,110.46,111.08,110.195,110.66,8283548
2018-05-29,109.18,109.2,104.955,105.93,30643840
2018-05-30,107.64,108.6,106.65,108.35,17490845
2018-05-31,107.95,108.19,106.42,107.01,19808203
