date,open,high,low,close,volume
2017-08-17,103.1006,103.3648,100.9382,100.9578,3266760
2017-08-18,101.1339,102.357,100.6545,101.6623,3243552
2017-08-21,101.7895,102.2005,101.1437,102.0635,2274450
2017-08-22,102.5038,104.1574,102.5038,103.9226,2993644
2017-08-23,103.5018,104.0889,102.6506,102.7778,2843988
2017-08-24,103.1202,103.2278,102.1809,102.3179,2768741
2017-08-25,103.0322,103.9617,102.8658,102.9832,2473268
2017-08-28,103.13,103.3746,102.0684,102.2983,2764562
2017-08-29,102.1261,103.547,101.7718,103.3071,3191604
2017-08-30,103.3366,103.9074,103.13,103.2776,2593256
2017-08-31,103.6417,104.1141,103.1796,103.6319,2744371
2017-09-01,103.9665,104.5865,103.1201,103.7992,2347736
2017-09-05,103.4252,103.6811,102.2048,102.4509,2598741
2017-09-06,102.9922,104.5895,102.8544,103.3465,4378651
2017-09-07,103.5433,104.0649,103.1398,103.8189,3622892
2017-09-08,103.9665,105.5903,103.3071,105.5116,3228219
2017-09-11,105.6002,106.3974,105.5018,106.3875,3818135
2017-09-12,106.2005,107.2142,106.0677,106.7615,2321794
2017-09-13,106.5056,106.9682,106.1808,106.9386,2106080
2017-09-14,106.9583,109.1235,106.5942,109.1038,4272334
2017-09-15,110.0289,111.6036,109.3498,111.6036,8269901
2017-09-18,111.4067,111.4855,110.1568,110.2553,3669296
2017-09-19,110.6096,111.387,110.334,111.2099,4168929
2017-09-20,111.2099,113.2077,111.0229,113.1782,3958813
2017-09-21,113.1684,113.8474,111.948,113.6112,3002206
2017-09-22,113.375,113.7441,112.8338,113.5128,2297582
2017-09-25,113.6211,114.123,112.9125,113.9557,2782976
2017-09-26,114.064,114.064,113.2668,113.6014,2976914
2017-09-27,113.8868,114.8906,113.1247,114.7922,2619188
2017-09-28,114.4478,115.0776,114.064,114.1328,1982797
2017-09-29,114.0836,114.4182,113.7982,114.1328,2317197
2017-10-02,113.5522,113.7195,112.5188,113.4341,3222243
2017-10-03,113.1979,113.3947,112.5582,113.07,2783874
2017-10-04,112.3417,112.6468,111.579,111.9677,3229617
2017-10-05,111.7709,112.2629,111.0918,112.2137,2811478
2017-10-06,112.135,112.9026,111.2493,112.1448,2200060
2017-10-09,111.9874,112.5483,111.574,112.076,1741887
2017-10-10,112.194,112.4942,110.708,110.8458,2772198
2017-10-11,110.9048,111.4264,110.7769,111.2591,2867225
2017-10-12,111.3674,112.1744,111.1607,111.889,2561671
2017-10-13,112.5385,112.9223,110.393,110.5013,2079758
2017-10-16,110.7375,110.9048,109.9895,110.3143,2310623
2017-10-17,107.6079,109.8616,106.9916,108.8184,3975275
2017-10-18,109.0349,109.6106,108.5723,108.6314,4152015
2017-10-19,108.2869,110.334,107.6423,110.2356,4080306
2017-10-20,111.1607,111.4953,110.5013,111.2,4982723
2017-10-23,111.2099,111.8004,110.4619,111.3969,3058982
2017-10-24,111.6232,112.4499,110.895,111.1115,4016219
2017-10-25,111.2886,111.6921,108.0901,108.6314,4342691
2017-10-26,109.9502,114.9497,109.0644,114.6249,6288783
2017-10-27,114.6544,117.8136,114.6298,115.2253,7139258
2017-10-30,115.1072,116.111,114.4576,114.5265,3461302
2017-10-31,115.0087,115.0235,113.5138,113.9557,2981317
2017-11-01,114.743,115.3827,114.2509,115.1465,2787183
2017-11-02,114.6249,116.8196,114.5068,116.5145,2903912
2017-11-03,116.357,116.4259,114.9005,115.3237,1935969
2017-11-06,115.4811,115.8354,114.6446,115.4713,1682886
2017-11-07,115.1957,115.7469,114.7627,115.1859,1732852
2017-11-08,114.7725,116.298,114.2116,115.9339,3226114
2017-11-09,115.0678,115.924,114.6544,115.2154,2331877
2017-11-10,114.9005,115.4418,114.497,114.8513,1840123
2017-11-13,113.7982,114.7037,113.3652,114.6348,2688986
2017-11-14,114.3297,115.0383,114.064,114.3887,3073988
2017-11-15,114.064,115.0875,113.6506,113.8671,3228315
2017-11-16,114.1525,115.2745,113.562,114.7233,2437161
2017-11-17,114.2313,114.9891,113.6703,113.7982,2129314
2017-11-20,114.1033,114.2608,113.3357,114.1722,2579497
2017-11-21,114.2706,115.3434,114.0935,115.2646,3134282
2017-11-22,115.4713,116.1897,115.1072,115.9929,2466635
2017-11-24,116.1602,116.9869,115.924,116.3767,1302832
2017-11-27,116.2193,116.5736,113.8573,115.304,3398889
2017-11-28,115.3926,117.164,114.6643,116.918,4024772
2017-11-29,117.3783,121.9209,116.9131,121.6736,7206766
2017-11-30,121.6834,126.5429,121.6834,125.1969,9350695
2017-12-01,125.088,125.6225,122.5346,123.3362,4793714
2017-12-04,124.7812,130.6402,124.2666,128.74,9092532
2017-12-05,128.1561,128.6212,125.8897,126.6913,4953192
2017-12-06,126.622,126.8794,125.8798,126.6319,3817857
2017-12-07,126.6814,127.5623,126.1074,127.1367,4695651
2017-12-08,127.4732,128.7004,127.2159,127.78,3628515
2017-12-11,128.1858,128.2168,126.7408,127.7206,4923696
2017-12-12,128.0175,129.6604,127.2851,129.3536,5334068
2017-12-13,129.3536,131.0262,128.4134,128.9676,5696120
2017-12-14,129.1755,129.987,127.4633,127.8394,4570372
2017-12-15,128.646,130.2641,128.0076,129.2546,8768124
2017-12-18,130.2344,131.8773,129.7495,131.1054,5829011
2017-12-19,131.7784,132.293,129.9573,131.8674,4538278
2017-12-20,132.5206,133.9061,131.719,133.2926,6825430
2017-12-21,133.4015,133.6093,132.0011,132.3524,4143152
2017-12-22,132.7879,133.3124,131.4122,133.0848,2765025
2017-12-26,133.6093,134.3615,132.9462,133.2629,2305864
2017-12-27,133.2035,134.9157,132.6592,134.9157,7473591
2017-12-28,134.6386,134.7673,133.2233,133.7281,2617728
2017-12-29,133.8864,134.2427,132.7186,132.7186,2334345
2018-01-02,133.3223,134.3813,132.7978,134.3813,4297989
2018-01-03,134.7079,135.1928,133.8666,135.1335,4653717
2018-01-04,135.4304,136.4597,134.124,134.4011,4384864
2018-01-05,136.232,138.2807,134.6584,136.1133,5381205
2018-01-08,136.0638,138.1916,136.044,138.0036,5472315
2018-01-09,138.3698,139.7158,137.7858,139.5475,6390817
2018-01-10,138.7261,139.9434,137.3009,138.2609,9513713
2018-01-11,139.1417,139.5376,138.0531,138.9042,3103196
2018-01-12,139.3496,140.3492,139.023,139.7158,3268832
2018-01-16,140.6065,140.7253,138.3797,138.8646,5793329
2018-01-17,138.8646,140.2502,138.3203,139.0131,3376714
2018-01-18,139.2308,139.4287,138.1718,138.9834,3882096
2018-01-19,139.5475,140.1611,138.3599,139.7949,4592089
2018-01-22,139.8939,140.6164,138.6766,140.5075,3277369
2018-01-23,139.9434,140.9331,137.9046,139.9038,6179360
2018-01-24,139.9632,141.5764,138.4687,139.7356,5229095
2018-01-25,133.1837,133.5994,130.4621,132.2237,13806679
2018-01-26,132.4316,133.2431,131.3528,132.8473,5843344
2018-01-29,132.8176,135.3512,132.7285,134.6485,5754187
2018-01-30,133.8963,135.6679,133.7578,133.9656,5383553
2018-01-31,134.2922,135.5689,131.6398,132.1248,5699893
2018-02-01,131.145,132.3623,130.5017,131.0163,5597605
2018-02-02,130.3037,130.373,125.9095,128.0274,8181225
2018-02-05,127.2654,130.4225,122.8513,122.8612,6744419
2018-02-06,121.0204,130.1454,120.2484,129.799,15734299
2018-02-07,128.9973,130.462,127.6117,127.6315,5052960
2018-02-08,127.3742,127.3742,123.5243,123.5738,6325125
2018-02-09,125.1375,127.008,119.9713,125.9688,9155968
2018-02-12,126.434,128.5025,124.8505,127.3148,4161997
2018-02-13,126.434,127.6365,125.474,126.9783,5078094
2018-02-14,127.4732,132.1644,126.9783,131.818,4782108
2018-02-15,132.4712,132.7285,129.9969,132.5108,3454388
2018-02-16,132.0654,134.1339,131.719,132.8868,3595817
2018-02-20,131.7685,132.3722,128.5915,128.8885,3411992
2018-02-21,129.1359,134.0052,129.1359,131.1351,3900685
2018-02-22,132.0258,132.8473,130.3037,132.2237,3585853
2018-02-23,133.1145,133.7776,132.2237,133.5796,2515523
2018-02-26,134.5,138.4193,134.1932,137.3603,5433911
2018-02-27,137.6289,138.4647,133.0423,133.0622,10917237
2018-02-28,133.4104,133.8482,129.4208,129.5899,5271925
2018-03-01,129.7292,132.4553,126.9235,127.7592,5894323
2018-03-02,126.7046,128.5054,124.6749,127.8488,6923043
2018-03-05,127.1026,129.8685,124.7247,129.6595,5573089
2018-03-06,130.0277,131.0325,128.6157,130.6246,3021312
2018-03-07,129.0128,131.2813,128.4756,130.4455,3339929
2018-03-08,131.132,132.6394,129.6993,131.6096,3429408
2018-03-09,133.1319,136.6838,132.8135,136.5843,6572100
2018-03-12,136.3355,137.1215,135.8281,135.9674,3279063
2018-03-13,135.2312,138.8428,135.2312,136.1365,4170308
2018-03-14,136.5345,137.2509,133.6094,134.1467,3960453
2018-03-15,134.4153,136.3057,133.7985,135.5694,3380924
2018-03-16,136.0271,138.803,135.6988,136.4649,8320559
2018-03-19,136.1067,136.6042,135.0123,136.2858,4154111
2018-03-20,136.7037,137.4996,135.7087,137.0718,4640356
2018-03-21,137.4101,139.5392,136.7484,137.8578,3465524
2018-03-22,136.5345,137.1713,133.7189,134.1865,3713861
2018-03-23,134.7735,135.6092,130.943,131.2713,3955329
2018-03-26,132.9329,133.1418,130.2664,132.326,4873964
2018-03-27,133.2313,133.9676,129.968,130.6346,4077547
2018-03-28,130.6644,132.4155,129.1422,130.0973,3775359
2018-03-29,130.9828,134.9924,130.3958,133.7487,4360253
2018-04-02,134.5944,135.6938,130.8833,132.4254,5229585
2018-04-03,133.4502,134.6044,132.2464,133.699,4495115
2018-04-04,131.8583,132.5448,129.7889,132.2265,5737967
2018-04-05,133.0523,133.2015,131.2216,132.4254,4850498
2018-04-06,131.331,132.6742,128.008,129.6197,3120025
2018-04-09,130.346,131.3907,129.1024,129.3611,3007163
2018-04-10,130.8037,131.4106,128.6547,129.4606,5789653
2018-04-11,128.396,131.1619,127.7891,130.5351,3394284
2018-04-12,131.3808,134.4352,130.9032,133.7388,3603285
2018-04-13,134.1069,134.6043,132.914,133.6393,3027339
2018-04-16,134.9824,137.1215,134.3457,136.3853,3289448
2018-04-17,137.1215,137.773,135.9276,136.9922,3265766
2018-04-18,138.3751,140.3799,137.9274,138.2558,5439779
2018-04-19,137.8279,138.0269,136.4748,137.2907,3174774
2018-04-20,136.5644,137.2409,134.6044,134.9725,4246834
2018-04-23,134.7237,135.7187,134.6143,135.3406,3546878
2018-04-24,136.3753,136.6042,130.7938,132.1568,4430364
2018-04-25,132.1369,135.7087,131.5499,135.3704,4592585
2018-04-26,128.8138,132.8831,125.7306,131.5101,8308347
2018-04-27,131.0027,134.5546,130.0377,134.5148,3631480
2018-04-30,134.8431,135.8281,132.9229,132.9528,3835577
2018-05-01,133.4801,133.4801,130.8435,132.0573,3214092
2018-05-02,132.0076,132.9528,130.4654,130.6047,3490399
2018-05-03,130.9629,131.7787,128.789,131.0624,5288750
2018-05-04,130.6744,134.3357,130.1073,133.4502,2737759
2018-05-07,133.7587,134.975,133.5497,134.2163,3057648
2018-05-08,133.7786,137.0519,133.5298,136.3952,3473002
2018-05-09,136.3853,139.5094,136.2758,139.191,3092227
2018-05-10,139.6089,141.2803,138.8428,140.5441,3072950
2018-05-11,140.6834,142.0166,140.2456,141.6385,3085259
2018-05-14,142.0862,142.534,139.7879,139.9969,2919469
2018-05-15,139.5293,140.6357,138.6637,139.579,2911316
2018-05-16,139.7979,141.5191,139.7979,140.6436,2250988
2018-05-17,140.6436,142.6235,140.3451,141.7679,2742524
2018-05-18,141.5888,143.7179,141.2803,143.0712,2763985
2018-05-21,143.6781,145.9864,143.5886,144.3447,2673769
2018-05-22,144.3447,145.6481,142.0763,142.1957,2459037
2018-05-23,141.1411,143.8771,140.4844,143.5388,3455189
2018-05-24,143.5189,145.5586,142.8327,144.9218,3562872
2018-05-25,144.4641,144.6631,143.4692,144.3248,2199994
2018-05-29,142.9518,143.8274,141.7181,143.32,4091499
2018-05-30,144.4,147.07,144.27,146.14,3925682
2018-05-31,146.17,146.81,142.46,142.76,4408486
