date,open,high,low,close,volume
2017-09-08,53.9639,54.5992,53.5469,54.2319,598077
2017-09-11,54.5992,54.7878,54.2021,54.49,1276395
2017-09-12,54.7977,55.7735,54.768,55.5224,612710
2017-09-13,55.3834,55.989,55.2643,55.5721,582724
2017-09-14,55.3934,55.7408,55.2494,55.3834,441779
2017-09-15,55.2941,56.0386,55.2048,55.5423,1034619
2017-09-18,55.6217,56.4655,55.443,56.3464,1252362
2017-09-19,56.4456,56.5946,56.1975,56.4357,620792
2017-09-20,56.5846,57.3391,56.535,57.2994,744479
2017-09-21,57.4086,57.5376,56.9619,56.9916,601000
2017-09-22,56.9817,57.2051,56.4655,57.1207,816114
2017-09-25,57.1008,58.0141,57.0909,57.8354,611540
2017-09-26,57.8851,58.0588,57.3987,57.8752,583340
2017-09-27,58.0737,58.0836,57.4781,57.9149,558639
2017-09-28,57.8553,58.034,57.1604,57.7461,667989
2017-09-29,57.756,57.8752,57.2497,57.8454,588188
2017-10-02,57.7163,58.3616,57.5078,58.3616,914574
2017-10-03,58.4211,58.5502,57.5674,58.0141,629744
2017-10-04,58.0042,58.3914,57.6965,58.173,678920
2017-10-05,58.3715,58.699,58.0985,58.3616,452079
2017-10-06,58.0836,58.5502,57.8144,58.5303,432951
2017-10-09,58.4807,58.6197,57.7064,57.9546,552065
2017-10-10,58.5303,58.5303,57.7461,57.9347,437664
2017-10-11,57.9446,57.9446,57.3788,57.5873,605640
2017-10-12,57.5475,58.3238,57.5077,58.2442,508047
2017-10-13,58.493,58.493,58.1247,58.274,571425
2017-10-16,58.7319,58.9906,58.4532,58.7219,488561
2017-10-17,58.6323,58.6821,57.8062,57.9555,588972
2017-10-18,57.9555,58.2541,57.8759,57.8958,506195
2017-10-19,57.657,58.075,57.657,58.0252,396675
2017-10-20,58.3935,58.5826,58.1795,58.5428,351531
2017-10-23,58.4731,58.7816,57.9356,58.065,376209
2017-10-24,58.075,58.6323,58.075,58.3138,573673
2017-10-25,58.284,58.4134,57.2986,57.8162,359496
2017-10-26,57.7266,58.6423,57.7266,58.4532,465331
2017-10-27,58.2143,58.7219,58.1446,58.4333,338078
2017-10-30,58.065,58.5826,58.065,58.1845,395842
2017-10-31,58.3238,58.5627,57.8958,57.9356,563648
2017-11-01,58.1048,58.5925,57.8461,58.0153,516183
2017-11-02,57.9257,58.6522,57.7615,58.4631,376798
2017-11-03,58.3537,59.1499,57.9157,59.0105,589666
2017-11-06,58.9707,60.8916,58.8768,60.822,954660
2017-11-07,60.9115,61.0409,60.4139,60.6428,825431
2017-11-08,60.4836,60.8518,59.8864,60.8319,692819
2017-11-09,60.3542,60.3542,59.4028,59.9959,497614
2017-11-10,59.757,60.0158,59.4485,59.7471,619214
2017-11-13,59.0504,59.548,58.6025,59.538,503351
2017-11-14,59.1399,59.1499,57.5375,57.6669,618440
2017-11-15,57.219,57.6968,56.9403,57.0797,445225
2017-11-16,57.2787,58.1546,57.0498,58.1546,581061
2017-11-17,57.9854,58.5826,57.9555,58.3537,390254
2017-11-20,58.3337,59.4982,58.2641,59.0603,678956
2017-11-21,61.7675,64.9823,61.1205,64.5543,1966095
2017-11-22,65.241,65.4912,63.977,64.4747,864666
2017-11-24,64.5045,64.5045,62.7329,62.9917,619304
2017-11-27,63.0315,63.5988,62.5936,63.0215,903060
2017-11-28,63.0912,64.4448,62.4343,64.2557,1483063
2017-11-29,64.1562,65.032,63.8178,64.5244,764774
2017-11-30,64.7036,65.888,64.3652,65.3207,1024853
2017-12-01,65.5595,65.679,63.5799,65.1515,733566
2017-12-04,65.9875,67.3709,65.8083,66.3757,1110542
2017-12-05,66.5349,66.5747,65.7287,66.1467,795578
2017-12-06,66.0472,67.7989,65.9975,67.3709,1247304
2017-12-07,68.6449,68.6449,67.1719,67.3709,1041747
2017-12-08,67.6795,68.3662,67.2416,68.1871,854111
2017-12-11,68.1174,68.2468,67.5153,68.0577,731659
2017-12-12,68.1373,68.625,67.8785,68.0676,714464
2017-12-13,68.3065,69.0231,67.5999,67.8387,906923
2017-12-14,66.7141,66.8036,65.5894,65.8183,1190620
2017-12-15,66.1318,66.8634,65.6192,65.878,1636078
2017-12-18,66.5349,66.8868,65.9875,66.4254,1244388
2017-12-19,66.4752,66.6942,66.0273,66.0771,919720
2017-12-20,66.4702,66.7141,66.0572,66.0771,885223
2017-12-21,66.2065,66.4951,65.7486,66.1667,735398
2017-12-22,65.9377,66.5847,65.6989,65.9676,495918
2017-12-26,65.6292,66.087,64.853,65.7387,733734
2017-12-27,65.9576,65.9975,65.2908,65.9676,729116
2017-12-28,66.296,66.4354,65.8283,66.2562,506723
2017-12-29,66.2562,66.4951,65.6292,65.6491,519526
2018-01-02,66.1866,67.0226,65.9339,66.5548,1145384
2018-01-03,66.6842,67.1321,66.4453,66.7837,1108621
2018-01-04,67.1818,67.6795,66.6543,67.4705,1509972
2018-01-05,67.6894,67.988,67.0525,67.8188,1059074
2018-01-08,67.6795,67.8387,67.0226,67.6397,1041245
2018-01-09,67.7492,68.197,67.152,67.3909,913606
2018-01-10,67.4705,67.8686,66.944,67.4904,735389
2018-01-11,67.8089,69.1923,67.6297,69.1724,1235120
2018-01-12,69.5307,69.5307,68.9435,69.2321,1177071
2018-01-16,69.6701,70.0184,68.9236,69.0928,1411935
2018-01-17,69.4611,69.5705,68.7643,69.252,649736
2018-01-18,69.5705,69.7198,68.9236,69.0629,748313
2018-01-19,69.1027,69.6601,68.4459,69.6203,923850
2018-01-22,69.3814,70.1378,69.1426,69.899,986198
2018-01-23,69.8194,70.0682,69.1923,69.5506,643899
2018-01-24,69.9686,70.5658,69.5009,69.9089,733908
2018-01-25,70.2871,70.4563,69.0729,69.5307,576905
2018-01-26,69.7099,69.7993,68.9933,69.6203,755373
2018-01-29,70.6653,71.8398,70.1876,70.7151,1446959
2018-01-30,70.3369,70.6853,68.207,69.3715,1179877
2018-01-31,70.4563,70.6554,68.6847,69.1326,894622
2018-02-01,68.7643,69.8592,68.197,69.69,817375
2018-02-02,69.2919,69.3466,66.3956,66.8036,1043291
2018-02-05,65.8979,66.515,62.7628,62.8523,1819806
2018-02-06,59.1698,64.6936,56.2835,63.8377,2537831
2018-02-07,63.7979,66.7837,62.6234,65.6989,2075078
2018-02-08,65.8283,65.9477,62.514,62.5239,3666171
2018-02-09,63.3599,63.3599,60.0655,61.9367,2030225
2018-02-12,62.6931,63.5988,61.1803,62.7926,2033748
2018-02-13,62.1556,62.713,61.1902,61.9765,1327360
2018-02-14,61.2897,63.4744,61.031,63.3599,1669651
2018-02-15,63.8488,63.9585,62.6217,63.5595,1508525
2018-02-16,63.2502,64.1481,62.9868,63.0407,1486252
2018-02-20,62.6117,63.33,61.9632,62.3224,983232
2018-02-21,62.2525,63.3599,61.9034,61.9134,1304922
2018-02-22,62.3324,63.6891,61.9333,62.4521,1006188
2018-02-23,62.7613,63.1105,61.0903,62.2027,1878546
2018-02-26,62.5319,63.1005,61.7438,62.8611,966552
2018-02-27,62.7713,63.4896,61.5742,61.5941,2091377
2018-02-28,62.0331,62.472,60.9057,60.9157,2229011
2018-03-01,60.7661,60.8958,59.0302,59.1998,1656937
2018-03-02,58.4216,60.0178,58.1523,59.8981,1569448
2018-03-05,59.3794,60.4768,59.1399,59.968,1179896
2018-03-06,60.1176,60.4568,59.7734,60.0577,1227322
2018-03-07,59.3394,60.2174,59.1299,60.0478,910383
2018-03-08,60.3171,60.377,58.9703,59.4691,1073402
2018-03-09,60.1475,60.7461,59.7285,60.6563,1016147
2018-03-12,60.6464,60.6464,59.6986,60.2872,991049
2018-03-13,60.4668,61.215,59.7485,59.968,834166
2018-03-14,60.1874,60.8559,59.4941,59.6387,1658906
2018-03-15,59.8083,60.5466,59.5589,59.7984,1203638
2018-03-16,59.8582,60.9057,59.7485,60.806,2009716
2018-03-19,60.4668,60.5391,59.2197,59.7684,1278910
2018-03-20,60.0478,60.5366,59.8482,59.9879,890171
2018-03-21,59.9281,61.0255,59.7585,60.387,637920
2018-03-22,59.6188,59.7086,57.4739,57.5237,1032081
2018-03-23,57.5836,57.7532,55.289,55.4387,1418579
2018-03-26,57.823,59.3295,56.1171,57.6435,2403550
2018-03-27,57.6435,57.6435,55.748,56.0971,2282069
2018-03-28,56.7556,57.3442,56.2667,56.7356,1825020
2018-03-29,57.8629,59.3754,57.5736,59.0102,1408755
2018-04-02,58.691,58.7508,56.566,57.5836,1376858
2018-04-03,57.823,58.5413,57.2644,58.4116,1027230
2018-04-04,57.4539,60.2273,57.414,60.0378,1652879
2018-04-05,60.377,60.5466,59.4991,59.7285,1589351
2018-04-06,59.2596,59.3694,57.2045,57.8729,1144446
2018-04-09,58.4915,59.3893,58.1223,58.1822,898970
2018-04-10,59.12,59.6087,58.7109,59.2995,1067652
2018-04-11,58.7409,59.7285,58.6453,59.3794,737098
2018-04-12,59.8283,60.0777,59.2098,59.3195,534335
2018-04-13,59.7784,59.7784,58.7309,59.1299,461065
2018-04-16,59.549,59.8283,59.1399,59.5789,588499
2018-04-17,60.0877,60.4567,59.8981,60.0977,727760
2018-04-18,60.5266,60.8559,60.2573,60.4169,855411
2018-04-19,60.4368,60.8459,60.0478,60.357,619089
2018-04-20,60.2872,60.5466,59.2896,59.8582,780113
2018-04-23,59.9281,60.6962,59.7884,60.3171,1227784
2018-04-24,60.4169,61.0005,58.5613,58.9504,754068
2018-04-25,58.9304,59.2197,58.1722,58.5014,844205
2018-04-26,58.681,58.681,57.4938,58.0725,626188
2018-04-27,57.9228,58.7508,57.6235,58.6611,767120
2018-04-30,58.7109,59.0601,57.9428,57.9527,759017
2018-05-01,57.9029,58.3318,57.2045,58.252,626912
2018-05-02,58.3019,58.3219,57.5337,57.5936,646945
2018-05-03,57.5437,57.6235,55.9585,57.015,1162145
2018-05-04,56.0772,56.8454,55.0795,56.7057,1731780
2018-05-07,56.7955,57.005,56.1171,56.576,1950471
2018-05-08,59.7984,62.1628,59.6487,61.9533,3071707
2018-05-09,63.0606,63.2602,62.1528,62.7115,2177747
2018-05-10,62.8511,63.7989,62.5518,63.6093,1674579
2018-05-11,64.4474,64.6968,63.2651,63.3998,1153667
2018-05-14,63.4298,63.5445,62.4371,62.8412,1180245
2018-05-15,62.5119,62.7813,62.1528,62.5419,1457217
2018-05-16,62.482,63.6991,62.3324,63.33,1220072
2018-05-17,63.24,64.06,62.86,63.96,730225
2018-05-18,63.96,64.21,63.65,63.74,1704126
2018-05-21,64.0,64.81,63.92,64.23,987428
2018-05-22,63.65,64.35,63.65,63.7,1143810
2018-05-23,63.19,63.52,62.74,63.46,828432
2018-05-24,63.48,63.83,62.82,63.46,790367
2018-05-25,62.96,63.4,62.93,63.33,590708
2018-05-29,62.73,63.67,62.61,63.3,1219881
2018-05-30,63.7,64.87,63.33,64.84,1388742
2018-05-31,64.7,65.02,64.095,64.8,1958485
