date,open,high,low,close,volume
2017-08-17,71.1612,71.3198,69.7146,69.7444,3098838
2017-08-18,69.2082,70.0125,69.089,69.5756,2636572
2017-08-21,69.6749,69.6749,68.8408,69.0294,2429372
2017-08-22,69.228,69.8039,69.1089,69.655,2918268
2017-08-23,69.516,69.6351,69.3472,69.5259,2021408
2017-08-24,69.6252,69.8436,69.0294,69.3273,1473591
2017-08-25,69.5954,70.2408,69.2777,69.2876,2958991
2017-08-28,69.4862,69.794,69.3174,69.4663,2961937
2017-08-29,68.9004,69.2876,68.7514,69.1585,1666305
2017-08-30,69.089,69.3869,68.8805,69.1784,1943424
2017-08-31,69.3472,70.499,69.2082,70.2706,3379067
2017-09-01,70.3501,70.7274,70.2508,70.3302,2862122
2017-09-05,70.072,70.2309,69.3869,70.0422,1983198
2017-09-06,70.2309,70.5685,70.0323,70.4295,1636697
2017-09-07,70.5189,71.2933,70.4493,70.916,2174459
2017-09-08,70.7174,71.1245,70.5,70.5983,2480022
2017-09-11,71.2139,71.8196,70.7075,71.6707,3160971
2017-09-12,71.8693,72.4849,71.5912,72.326,2854475
2017-09-13,72.3061,72.475,71.6756,71.76,3279581
2017-09-14,71.482,71.7302,70.9955,71.2338,3333319
2017-09-15,71.2636,71.4224,70.9061,71.3132,3927830
2017-09-18,71.621,71.8047,71.3033,71.5317,1565496
2017-09-19,71.7402,72.3061,71.621,71.9884,2620376
2017-09-20,72.1175,72.326,71.5019,71.9487,2568540
2017-09-21,71.8593,72.0678,71.3529,71.3529,2382261
2017-09-22,71.4522,71.9586,71.4026,71.5515,3568271
2017-09-25,71.4026,71.5416,70.5387,71.1841,2195801
2017-09-26,71.4224,72.0091,71.0054,71.1146,3767991
2017-09-27,71.5217,71.8196,71.0243,71.4026,2037406
2017-09-28,70.9756,71.6558,70.8862,71.6309,1640846
2017-09-29,71.482,72.1373,71.4224,72.0281,1953070
2017-10-02,71.9983,72.7619,71.8395,71.9388,1897133
2017-10-03,71.9487,72.4005,71.7104,72.0381,2638557
2017-10-04,71.9884,72.5147,71.7501,72.1373,4474409
2017-10-05,72.5445,72.7133,72.1125,72.6835,3628244
2017-10-06,72.4849,73.309,72.4849,73.2792,2249315
2017-10-09,73.3885,73.3885,72.6835,73.1303,1925422
2017-10-10,73.1005,73.5771,73.1005,73.4778,2089174
2017-10-11,73.3686,73.4878,72.6338,73.0806,2468240
2017-10-12,73.2197,73.9445,73.2197,73.5672,2675616
2017-10-13,74.0835,74.2424,73.7062,73.8551,1466970
2017-10-16,73.9147,73.9842,73.2693,73.6466,1215122
2017-10-17,73.597,73.6069,73.0806,73.448,1387198
2017-10-18,73.4778,73.8055,73.1204,73.4182,2050704
2017-10-19,73.0906,73.9445,72.9019,73.7459,1658751
2017-10-20,73.9743,74.292,73.6665,74.2722,2905166
2017-10-23,74.4509,74.4708,73.7757,73.875,2665926
2017-10-24,73.7956,74.1729,73.6268,74.163,3549223
2017-10-25,73.9048,74.2225,73.5771,73.7261,2374963
2017-10-26,74.7786,74.9772,74.014,74.0537,3390160
2017-10-27,74.1828,74.9672,73.4778,74.858,3424290
2017-10-30,74.7885,75.0864,74.2225,74.9772,4155396
2017-10-31,75.1956,75.9701,74.8282,75.136,6126517
2017-11-01,74.1133,74.4708,70.0323,73.0211,9994911
2017-11-02,73.6168,74.58,73.2097,73.8353,4426328
2017-11-03,73.8055,74.1977,73.2494,73.7459,3792498
2017-11-06,73.587,74.7587,73.4778,74.2523,3183333
2017-11-07,74.2821,74.5303,74.0041,74.1232,3161610
2017-11-08,74.3218,74.5502,73.7459,73.8551,2556327
2017-11-09,73.3388,73.7161,72.9814,73.4182,2137864
2017-11-10,73.0707,73.9147,72.9019,73.736,2591896
2017-11-13,73.4778,74.1332,73.2892,74.0339,1743827
2017-11-14,73.319,74.6594,73.2594,74.441,2261429
2017-11-15,74.4112,74.58,73.448,73.5672,3244041
2017-11-16,73.875,75.2353,73.8651,74.8481,3370793
2017-11-17,74.6889,74.7784,72.51,72.5399,4754892
2017-11-20,72.3707,72.5399,71.2067,71.535,5894901
2017-11-21,72.4105,72.52,71.1271,71.4057,4244561
2017-11-22,71.5549,71.6941,71.1171,71.346,2537805
2017-11-24,71.5648,72.0026,71.1669,71.9031,1827562
2017-11-27,71.8633,72.2414,71.6355,72.0325,3993994
2017-11-28,72.1618,72.8582,72.0126,72.5001,3509073
2017-11-29,72.6195,72.6195,71.5947,71.7439,3080880
2017-11-30,71.0873,72.4105,71.0873,71.9131,3875119
2017-12-01,71.5449,72.0424,70.4008,70.9977,4769969
2017-12-04,71.2863,71.4952,69.963,69.963,4569243
2017-12-05,69.7043,70.948,69.3362,70.0725,3263003
2017-12-06,69.8038,71.2564,69.5849,71.137,4766380
2017-12-07,70.9977,71.4256,69.6546,71.2465,5680559
2017-12-08,71.6743,72.4567,71.1271,71.4554,3330089
2017-12-11,71.2863,71.6743,70.8883,71.1967,2329271
2017-12-12,71.1271,71.6643,70.5799,71.0873,4501460
2017-12-13,71.4355,71.7539,70.6993,70.8286,3128971
2017-12-14,71.2863,72.4205,71.2863,71.4455,4694162
2017-12-15,71.6842,71.933,70.7092,71.7141,8291019
2017-12-18,72.0026,72.1021,71.3559,71.5051,3078987
2017-12-19,71.4355,72.0723,71.0077,71.5648,2679906
2017-12-20,72.1668,72.4006,71.5847,72.3409,3330532
2017-12-21,73.0672,73.485,71.9529,72.0325,4740452
2017-12-22,71.9827,72.0723,71.137,71.336,5831050
2017-12-26,71.1967,71.5549,70.759,70.8783,2071868
2017-12-27,71.2664,71.2664,70.7202,70.8385,2593636
2017-12-28,70.9082,71.1669,70.5898,71.0276,1926994
2017-12-29,71.0176,71.346,70.6495,70.6595,2212189
2018-01-02,70.7988,70.9679,70.1819,70.5898,3068575
2018-01-03,70.8187,71.4007,70.5401,71.1868,4317099
2018-01-04,71.5847,72.5996,71.4952,72.311,3444345
2018-01-05,72.7389,73.2164,72.3906,72.9279,2913208
2018-01-08,72.7886,73.2861,72.6394,72.9975,3305403
2018-01-09,72.8284,73.2562,72.8284,73.0871,3018318
2018-01-10,72.8682,73.6442,72.8284,73.5945,3485805
2018-01-11,73.6044,73.8233,73.2463,73.6343,3981285
2018-01-12,73.7238,74.47,73.5149,74.1815,3816291
2018-01-16,75.067,75.3953,74.0425,74.3506,3547753
2018-01-17,74.7685,75.644,74.7138,75.455,4169523
2018-01-18,76.6091,76.7484,75.7236,76.3604,5518247
2018-01-19,76.5992,76.9872,76.3902,76.8976,3178743
2018-01-22,76.9971,77.9423,76.7981,77.5642,3843603
2018-01-23,77.2459,78.3801,77.1529,77.8627,2732700
2018-01-24,78.1413,78.5492,77.7135,78.0517,3655908
2018-01-25,78.3204,78.4298,77.3255,77.5543,2741770
2018-01-26,77.8229,78.1313,77.2857,78.0318,2425246
2018-01-29,77.6538,78.0207,77.3851,77.7533,2734826
2018-01-30,77.7732,78.3403,77.1215,77.3652,2803862
2018-01-31,77.1862,77.8329,76.9275,77.5841,3222818
2018-02-01,77.5145,78.0418,76.6996,77.1066,3130804
2018-02-02,75.4251,76.6887,75.3157,75.3356,5256383
2018-02-05,75.266,76.2012,72.8781,72.9179,4318214
2018-02-06,71.8733,73.893,71.5847,73.5248,6519037
2018-02-07,76.241,78.8775,76.1116,76.1315,7112616
2018-02-08,76.3206,77.6836,74.7088,74.7784,6974630
2018-02-09,75.455,76.43,73.684,75.9027,6550172
2018-02-12,76.1216,77.5045,76.032,77.0369,5642765
2018-02-13,76.5096,77.9025,76.2708,77.7135,4123399
2018-02-14,77.0369,79.7232,76.9872,79.4148,4773464
2018-02-15,79.8824,80.9569,78.9273,80.9569,3368058
2018-02-16,81.0763,81.4544,80.2406,80.5391,4780704
2018-02-20,80.2804,81.7628,80.2008,81.1261,3913128
2018-02-21,81.2557,83.3402,81.136,81.5849,4607864
2018-02-22,82.0337,82.3528,81.156,81.3954,3358227
2018-02-23,82.1035,82.3129,80.5975,82.3129,3540695
2018-02-26,83.0909,83.1208,82.0536,82.7518,2875713
2018-02-27,83.0011,83.5696,82.0337,82.293,2914915
2018-02-28,82.7618,83.3303,81.6447,81.8043,2613850
2018-03-01,82.0237,82.283,79.8993,80.4379,3738979
2018-03-02,79.7098,81.2059,79.3109,81.0662,3055243
2018-03-05,80.5177,82.3628,80.3581,82.0536,2532403
2018-03-06,82.6122,83.051,81.7943,82.8515,2907927
2018-03-07,82.4725,83.3402,82.1933,83.0311,2706034
2018-03-08,83.43,83.4599,82.4376,83.0011,3340180
2018-03-09,83.4001,84.7266,83.2904,84.4872,2997509
2018-03-12,84.3974,84.6967,83.5796,83.8489,4499721
2018-03-13,84.3476,84.7665,83.3003,83.5696,2279596
2018-03-14,83.7891,84.3974,83.2305,83.4101,2255218
2018-03-15,83.5297,84.8762,83.4599,84.6069,2969481
2018-03-16,84.577,84.7764,84.0085,84.3775,4534900
2018-03-19,84.1481,84.5371,82.7318,83.5896,3304880
2018-03-20,83.809,84.4673,83.6893,84.0883,3145942
2018-03-21,84.0284,84.3426,82.8316,83.1308,3721197
2018-03-22,82.293,82.7817,80.4479,80.757,5453967
2018-03-23,80.8468,81.2458,78.9917,79.0515,3093596
2018-03-26,80.4479,81.6547,79.4405,81.4153,3638996
2018-03-27,82.0736,82.5224,79.1313,79.8694,3387778
2018-03-28,80.1786,80.6773,79.1712,79.4605,3753270
2018-03-29,79.8893,81.4004,79.5602,80.2883,4755618
2018-04-02,80.2484,81.0563,78.2536,79.0017,4708289
2018-04-03,79.7098,80.5077,78.7823,79.8395,3700225
2018-04-04,78.4132,80.9665,78.3733,80.5077,3972672
2018-04-05,80.8368,81.2657,79.8494,80.7072,2378914
2018-04-06,80.0988,80.6473,78.3334,78.862,3552935
2018-04-09,79.2211,80.019,78.6626,78.7025,3277966
2018-04-10,80.0888,80.8668,79.8893,80.1885,3192927
2018-04-11,79.4405,80.0489,79.251,79.7198,2499323
2018-04-12,80.1686,81.6347,79.8694,81.3355,3619295
2018-04-13,82.0137,82.0137,79.9791,80.6074,2784667
2018-04-16,81.2757,82.0387,80.787,81.5549,2269365
2018-04-17,82.1733,82.283,81.2657,81.9738,3568884
2018-04-18,82.2332,82.9263,81.4153,82.4825,2577173
2018-04-19,82.3429,83.0211,81.8741,82.1534,2161077
2018-04-20,81.9738,82.3429,81.1759,81.5549,3053681
2018-04-23,81.7644,81.9838,81.0164,81.3555,2130668
2018-04-24,81.9539,82.1035,80.1387,80.5875,3017172
2018-04-25,80.378,80.9366,79.6949,80.6972,2642728
2018-04-26,81.1161,81.5948,80.5775,81.5151,3223772
2018-04-27,81.6447,82.4576,81.3056,81.4053,2227700
2018-04-30,81.7943,82.283,81.5051,81.6048,2642925
2018-05-01,81.5649,81.9539,81.2458,81.6048,2213383
2018-05-02,81.4652,81.9639,80.9067,81.166,3100196
2018-05-03,80.7371,81.3555,79.8669,81.146,3338409
2018-05-04,80.8269,82.3927,80.5077,81.9539,3799599
2018-05-07,78.519,78.6725,76.6279,77.6552,9362817
2018-05-08,77.4059,77.6941,74.8526,75.3513,7550996
2018-05-09,75.6605,75.7702,74.5634,74.8327,6849482
2018-05-10,75.1917,76.1741,75.0022,75.7503,3198677
2018-05-11,75.6306,76.7875,75.5807,76.3786,3678740
2018-05-14,76.1691,76.6279,75.2417,75.6605,3991851
2018-05-15,75.471,76.1293,74.8127,75.2615,2997715
2018-05-16,75.3713,75.7004,74.9723,75.1917,2374613
2018-05-17,74.8526,76.0096,74.7728,75.5807,3605672
2018-05-18,75.7203,76.4983,75.3513,75.84,3210541
2018-05-21,76.32,76.81,75.5,75.75,1912937
2018-05-22,75.91,76.03,75.139,75.24,4025479
2018-05-23,74.98,75.8,74.86,75.76,2844610
2018-05-24,75.91,76.4,75.47,75.93,3006445
2018-05-25,75.98,76.04,75.05,75.78,2872517
2018-05-29,75.47,75.48,73.97,74.41,3543475
2018-05-30,74.6,76.03,74.5,75.69,3449647
2018-05-31,74.92,76.22,74.92,75.35,6622155
