date,open,high,low,close,volume
2017-08-22,77.2595,77.7311,76.8372,77.3578,814407
2017-08-23,77.18,77.7724,76.9233,77.5355,758149
2017-08-24,77.6934,77.7823,77.0714,77.2393,963791
2017-08-25,77.7033,78.1871,77.3775,77.496,941510
2017-08-28,77.5651,77.5651,76.6271,76.7851,1256974
2017-08-29,76.2914,77.6145,76.1828,77.5355,1294203
2017-08-30,77.6342,77.9355,77.4071,77.8613,766642
2017-08-31,78.0983,78.7005,77.9896,78.5919,982223
2017-09-01,78.7598,78.819,77.8317,78.7301,1144642
2017-09-05,78.4142,78.6215,77.5059,78.118,742997
2017-09-06,78.5722,78.5722,77.5453,78.1476,1095281
2017-09-07,78.5524,78.5524,77.5355,77.8021,943583
2017-09-08,77.6638,78.3155,77.3874,77.9304,1035566
2017-09-11,78.4043,79.9446,78.1936,79.9446,808273
2017-09-12,80.0927,80.537,79.8853,80.4086,904690
2017-09-13,80.3987,80.4531,79.9939,80.4382,751260
2017-09-14,80.221,80.4185,79.9939,80.2506,1009118
2017-09-15,80.2309,81.1195,80.0631,81.1096,1633504
2017-09-18,81.2084,81.8501,81.0208,81.5737,690764
2017-09-19,81.702,81.8501,81.2479,81.4848,1016362
2017-09-20,81.7218,81.7909,81.0504,81.4651,919720
2017-09-21,81.4157,81.9192,81.0701,81.1689,919271
2017-09-22,81.1392,81.4848,80.9418,81.317,698617
2017-09-25,81.0504,81.0849,79.9051,80.1124,1261346
2017-09-26,80.4284,81.1787,80.3,81.0109,1402094
2017-09-27,81.4058,82.176,81.0208,81.7218,967867
2017-09-28,81.5539,82.0772,81.3268,81.5836,1153953
2017-09-29,81.6428,82.2846,81.4256,82.0081,1060509
2017-10-02,82.3241,82.7585,81.9192,82.7289,1210164
2017-10-03,82.7387,83.8347,82.5906,83.7853,1233744
2017-10-04,83.6076,84.6739,83.2818,84.6739,1516441
2017-10-05,84.7134,85.0096,84.0716,84.9899,1289154
2017-10-06,84.9405,85.3256,84.6542,85.138,989757
2017-10-09,85.4737,85.5033,84.8319,85.138,783507
2017-10-10,85.2268,85.4342,84.8121,85.4144,1189926
2017-10-11,85.4934,85.6711,85.1478,85.6514,984049
2017-10-12,85.523,86.5104,85.3167,86.3326,1058515
2017-10-13,86.7572,86.8263,86.3326,86.6288,876070
2017-10-16,86.8855,87.2706,86.5696,87.1521,492724
2017-10-17,86.9349,87.1225,86.2734,86.619,883435
2017-10-18,86.7473,86.8757,86.0463,86.4116,1135789
2017-10-19,86.1154,86.3425,85.3157,86.3326,1057539
2017-10-20,86.7374,87.4582,86.7078,87.3496,1007147
2017-10-23,87.7445,87.7939,86.9053,86.9645,910130
2017-10-24,87.3792,88.0802,86.9349,87.9617,819132
2017-10-25,87.6754,88.1395,87.2015,87.7741,854461
2017-10-26,88.2876,88.2876,87.1817,87.4681,1456249
2017-10-27,87.626,88.2876,87.4681,88.2876,966149
2017-10-30,88.3369,88.5739,87.8926,88.3665,1259149
2017-10-31,88.3665,90.0154,88.2876,89.8179,1770256
2017-11-01,91.684,91.9308,89.0873,90.7065,2479585
2017-11-02,91.0916,91.7234,90.282,90.4103,1065209
2017-11-03,90.6275,91.6149,89.4536,91.5556,1222933
2017-11-06,90.9929,92.4936,90.9534,91.7926,1436211
2017-11-07,91.9111,92.1085,91.447,92.0493,1178106
2017-11-08,91.9308,92.5627,91.7136,92.5134,1117453
2017-11-09,91.921,92.5627,91.2199,91.7432,1281827
2017-11-10,92.2863,92.4146,91.6939,92.3455,1022471
2017-11-13,91.9111,92.538,91.6642,92.1777,1534442
2017-11-14,91.5951,92.6417,91.5161,92.6318,1407169
2017-11-15,92.0493,92.0987,91.2693,91.5951,1284470
2017-11-16,92.227,94.1573,92.1184,93.945,1891245
2017-11-17,93.8265,94.1622,93.4168,93.8364,2994727
2017-11-20,94.103,94.9323,93.8463,94.6756,1500617
2017-11-21,95.1594,95.4556,94.1622,94.7349,1708852
2017-11-22,94.8142,95.0026,93.4955,93.7037,1698225
2017-11-24,94.1003,94.6655,93.7831,94.4474,685596
2017-11-27,94.5168,94.6655,93.4261,93.9913,1572642
2017-11-28,94.3383,95.0125,93.9516,94.8836,1585249
2017-11-29,95.0521,95.0521,92.8908,93.446,1683773
2017-11-30,93.8426,94.1499,93.4162,93.6343,2316023
2017-12-01,93.4955,93.5649,90.7095,92.9304,2406005
2017-12-04,93.6641,93.7037,92.0777,92.0777,1624160
2017-12-05,92.3554,92.6528,91.6733,91.7704,1642274
2017-12-06,91.5225,91.8794,91.2152,91.4928,1989051
2017-12-07,91.8596,93.3468,91.8596,93.089,1798419
2017-12-08,94.6853,94.6853,93.6641,94.0111,2090429
2017-12-11,93.8624,94.5862,93.8128,94.2292,1405202
2017-12-12,94.3779,95.2802,94.0557,94.834,2005440
2017-12-13,95.0621,95.2604,93.7533,94.4573,1794783
2017-12-14,94.9927,95.9544,94.6853,94.6952,1396892
2017-12-15,95.2405,95.6569,94.6754,95.3992,2949496
2017-12-18,95.8106,96.3411,94.9827,95.1711,1522250
2017-12-19,95.2306,95.6669,95.0125,95.0918,1410133
2017-12-20,95.4785,95.7462,94.9827,95.4091,1184570
2017-12-21,95.7363,95.7957,94.6952,94.725,855893
2017-12-22,94.6605,94.9233,93.4856,94.14,1008372
2017-12-26,93.9615,95.2901,93.5352,94.4474,1192568
2017-12-27,94.4573,94.6258,93.7632,94.3779,1118753
2017-12-28,94.5862,94.6556,94.0012,94.4275,1009718
2017-12-29,94.6556,94.7547,94.2292,94.2292,879343
2018-01-02,94.8935,94.8935,93.4361,94.5068,1805738
2018-01-03,94.606,96.3411,94.2887,96.1031,1812273
2018-01-04,96.5096,97.0847,96.0139,96.5493,1399073
2018-01-05,97.2433,98.8495,97.0004,98.7503,2318337
2018-01-08,97.9671,99.0478,97.9671,98.9585,1609073
2018-01-09,98.899,99.0874,97.8778,97.977,1630500
2018-01-10,97.8183,97.8183,97.0351,97.6795,2254106
2018-01-11,97.9175,98.552,97.6895,98.4132,1199953
2018-01-12,98.552,99.8429,98.2744,99.3155,1501120
2018-01-16,99.7121,100.1433,98.79,99.256,1977643
2018-01-17,99.8657,100.0194,99.3452,99.7121,1683721
2018-01-18,99.8409,100.188,98.9437,99.1172,2215728
2018-01-19,99.8707,100.6886,99.5237,99.8707,2095131
2018-01-22,99.7021,100.3962,99.1767,100.3962,1645652
2018-01-23,100.6639,101.0605,99.7319,99.8409,1988961
2018-01-24,107.1778,107.3067,101.3083,101.5165,4131417
2018-01-25,101.9131,104.5802,101.3975,101.7644,2643995
2018-01-26,102.3692,104.1637,101.8536,103.4598,2321353
2018-01-29,102.6171,104.3323,102.6171,102.9938,2693861
2018-01-30,102.2998,102.4188,101.229,101.457,1941268
2018-01-31,102.0222,102.1907,101.1795,101.6553,2907350
2018-02-01,101.4075,103.6284,101.3182,102.8947,1939346
2018-02-02,102.4386,103.2516,101.1794,101.3083,2801881
2018-02-05,100.3367,102.1808,97.8778,97.8778,2188977
2018-02-06,96.3113,99.0577,95.181,98.2943,3189465
2018-02-07,98.0166,100.7333,97.5804,98.7602,1996806
2018-02-08,98.8792,99.1172,94.3779,94.4573,1887700
2018-02-09,95.4487,96.4105,91.6911,95.5776,2892536
2018-02-12,96.4204,98.4231,96.0833,97.858,2201810
2018-02-13,97.1838,98.2744,96.9657,97.9472,1087032
2018-02-14,97.1838,99.1271,97.1491,98.8891,1512900
2018-02-15,99.5138,100.5548,98.9585,100.535,1470340
2018-02-16,100.2673,101.9528,99.7319,101.229,1706916
2018-02-20,100.5945,102.342,100.3367,101.6355,1264063
2018-02-21,101.9627,103.2714,101.2786,101.2984,1384828
2018-02-22,101.5472,101.7015,100.2533,100.5519,1355496
2018-02-23,101.2088,101.8458,100.8505,101.7961,759198
2018-02-26,102.4331,104.1153,102.0051,103.956,1179043
2018-02-27,103.9063,105.5088,103.8266,103.9063,1380298
2018-02-28,104.0954,104.8519,102.5824,102.6123,1456791
2018-03-01,102.5426,102.9706,99.4659,99.6162,2264686
2018-03-02,98.8498,101.0595,98.4716,100.9102,1397106
2018-03-05,100.532,101.5871,99.1185,101.1192,1654583
2018-03-06,101.6766,102.3137,101.1093,101.4577,993248
2018-03-07,100.3528,101.9454,100.1438,101.6965,2248281
2018-03-08,102.1743,102.4431,101.5472,102.3535,1544246
2018-03-09,102.8412,105.2998,102.6521,105.26,1497373
2018-03-12,105.1306,105.3993,104.1053,104.7523,1430441
2018-03-13,105.1803,105.3197,103.8963,104.1352,1216072
2018-03-14,104.5134,104.5134,102.8612,103.4484,1066830
2018-03-15,103.3588,104.5931,102.672,104.0257,1221085
2018-03-16,104.1451,104.7424,103.4882,103.956,1388386
2018-03-19,103.7171,103.7271,101.7662,102.891,1110394
2018-03-20,103.2593,104.6826,103.2095,104.0556,1282168
2018-03-21,104.1252,105.5088,103.7072,104.1949,873329
2018-03-22,103.0204,103.4185,99.9148,100.0243,1450001
2018-03-23,100.4225,100.4225,96.2519,96.3912,1723737
2018-03-26,97.7748,98.6607,96.7496,98.5014,1403649
2018-03-27,99.4271,100.2732,96.7993,97.3468,1869029
2018-03-28,97.526,97.8146,95.6248,95.8936,1566751
2018-03-29,96.879,100.2284,96.6401,99.4371,1906988
2018-04-02,98.8797,99.0091,95.3561,96.4609,1265712
2018-04-03,96.9287,97.9142,96.1922,97.8445,1448495
2018-04-04,96.1324,98.0436,95.8239,97.8843,1478147
2018-04-05,98.5213,98.8697,97.7449,98.3322,1053167
2018-04-06,97.2572,97.5757,94.3308,95.4656,1162085
2018-04-09,96.3017,97.6255,95.585,95.804,1805806
2018-04-10,97.4961,99.2181,97.3469,98.7005,2305807
2018-04-11,97.8942,99.3077,97.7151,98.2625,1987624
2018-04-12,98.7204,99.457,98.2725,98.6408,3376781
2018-04-13,99.2081,99.5067,98.4317,98.9095,1370534
2018-04-16,99.666,99.666,98.6607,99.1584,1208296
2018-04-17,100.1935,100.8306,99.5515,100.3827,2082944
2018-04-18,101.388,102.1743,101.1093,101.7065,1395884
2018-04-19,100.9998,101.1192,99.8949,100.5817,1836142
2018-04-20,100.8803,100.9202,99.4868,99.7954,1653537
2018-04-23,100.0442,100.741,99.1783,99.5466,1301135
2018-04-24,100.1736,100.5618,96.2021,97.2871,2225199
2018-04-25,95.0276,96.0628,92.788,93.9426,3005898
2018-04-26,94.2213,94.6792,93.1563,93.2558,2336621
2018-04-27,93.2757,93.9526,92.2903,92.798,2383368
2018-04-30,93.0369,93.3653,91.3248,91.3248,1860570
2018-05-01,90.9366,91.4045,90.3145,91.3746,2259233
2018-05-02,91.4841,92.584,91.2054,91.3746,2503953
2018-05-03,91.2552,91.5637,90.0209,91.2253,1700112
2018-05-04,90.6579,92.3998,90.6281,92.0017,1492991
2018-05-07,92.2207,93.1762,91.932,92.5093,1584376
2018-05-08,92.0813,92.788,92.0813,92.4894,1829478
2018-05-09,93.0767,93.4051,92.3003,93.0269,2380016
2018-05-10,93.5644,94.0123,93.0667,93.8431,1528863
2018-05-11,93.9725,94.9679,93.7038,94.1417,1376887
2018-05-14,94.5399,94.9878,94.2213,94.6095,1434457
2018-05-15,93.8232,94.5214,93.8232,94.4403,1396339
2018-05-16,94.4304,95.376,94.1616,94.8683,1023860
2018-05-17,94.6593,95.6149,94.3706,94.9878,1411300
2018-05-18,95.0873,95.0873,94.3057,94.719,2619729
2018-05-21,95.7443,96.2021,95.3063,95.4855,1216329
2018-05-22,95.6248,95.9433,94.4105,94.4702,1556427
2018-05-23,93.9526,94.5598,93.4051,94.51,1133061
2018-05-24,94.42,95.095,93.78,94.32,1400395
2018-05-25,94.08,94.42,93.64,94.12,758479
2018-05-29,93.3,93.75,92.04,92.99,1595679
2018-05-30,93.75,94.6,93.43,93.95,1173238
2018-05-31,93.76,94.17,92.9829,93.08,3450892
