date,open,high,low,close,volume
2017-09-07,103.3581,105.9364,103.0934,105.6815,1725314
2017-09-08,105.6227,106.7501,105.1717,106.0246,1089088
2017-09-11,106.3481,107.7402,106.0736,107.4951,1073620
2017-09-12,107.4755,108.1324,107.2108,107.4265,759977
2017-09-13,107.0638,108.4265,106.9069,107.2697,779296
2017-09-14,107.0344,107.3579,106.7795,107.1716,537870
2017-09-15,107.2795,108.3774,107.2795,108.3284,1224543
2017-09-18,108.3578,108.5147,107.3971,107.5932,923492
2017-09-19,107.5147,107.652,107.005,107.2599,945956
2017-09-20,106.7893,107.0932,105.6129,106.2893,691287
2017-09-21,106.3677,106.505,104.9756,105.4364,959339
2017-09-22,105.5148,105.7403,103.9169,104.3874,1148751
2017-09-25,104.5051,104.7845,103.858,104.7306,1483330
2017-09-26,104.907,105.2992,104.5149,105.1031,835645
2017-09-27,105.1423,106.1619,105.0933,106.0932,1254230
2017-09-28,105.4952,106.6128,105.2894,105.7011,896529
2017-09-29,105.956,107.3285,105.6619,107.0246,1200773
2017-10-02,107.054,107.5245,106.554,106.7011,878476
2017-10-03,106.8089,106.9657,105.2501,105.5442,948575
2017-10-04,105.8285,106.8579,105.0149,106.1128,851047
2017-10-05,106.2501,106.8383,105.9462,106.7795,876436
2017-10-06,106.7207,107.0834,106.1815,106.5148,994377
2017-10-09,106.5932,106.7991,105.6031,105.7697,600966
2017-10-10,106.005,106.9461,105.2697,106.8873,655393
2017-10-11,106.9461,108.2206,106.9461,107.3677,893711
2017-10-12,107.3089,108.4657,107.3089,107.8088,1167497
2017-10-13,108.0343,108.1912,107.3383,107.9069,1042176
2017-10-16,108.0539,108.8088,107.5932,108.7598,604230
2017-10-17,108.5931,108.7108,107.8383,108.6421,559418
2017-10-18,108.7402,108.7402,107.8285,107.8873,671964
2017-10-19,107.8481,108.0637,106.9461,107.201,683494
2017-10-20,107.3383,107.8285,106.7207,106.8775,717112
2017-10-23,106.9854,107.1323,105.8285,106.9756,949206
2017-10-24,107.2402,107.603,107.0834,107.2108,789430
2017-10-25,106.5638,106.9167,105.6325,106.456,1027386
2017-10-26,105.358,105.3874,100.5053,100.8484,2601844
2017-10-27,100.7405,102.0738,100.6033,102.0346,1844349
2017-10-30,102.2797,103.5541,102.1424,102.6718,1449685
2017-10-31,103.1424,104.2992,102.9561,104.0933,1312766
2017-11-01,104.4757,104.7698,103.5345,104.6325,811130
2017-11-02,104.3188,104.6913,103.5836,104.4953,874065
2017-11-03,104.3286,104.6913,103.7502,103.8384,809373
2017-11-06,103.9561,103.9561,102.0934,102.3287,780540
2017-11-07,102.1326,104.0051,102.0444,103.8875,955174
2017-11-08,103.8679,105.7991,103.858,105.6325,798460
2017-11-09,105.358,106.2109,105.1913,105.6521,852280
2017-11-10,105.2305,106.7305,105.2305,106.4658,751677
2017-11-13,106.6324,107.3971,105.9266,106.054,939889
2017-11-14,105.8776,108.1422,105.5344,107.701,997781
2017-11-15,91.6326,93.4496,91.3745,92.7149,1774020
2017-11-16,105.9168,107.951,105.4462,107.5442,1202677
2017-11-17,107.1324,108.4657,106.8383,106.9559,1993358
2017-11-20,106.9559,108.5735,106.6913,107.9363,922091
2017-11-21,107.7943,108.4747,106.8968,107.0151,1060778
2017-11-22,107.0151,107.4047,106.3741,106.6305,957652
2017-11-24,106.8475,106.9658,105.95,105.9697,291197
2017-11-27,106.2656,107.2001,105.664,106.8771,634626
2017-11-28,107.1039,108.3564,106.522,108.3268,916347
2017-11-29,108.3564,110.0527,107.7154,108.9777,843905
2017-11-30,109.175,110.3486,108.741,109.4018,1732688
2017-12-01,109.5103,109.5103,107.4796,109.4807,723898
2017-12-04,109.9048,111.5764,109.8259,111.2658,1172102
2017-12-05,111.2953,111.9956,110.4768,111.2066,1010135
2017-12-06,111.1869,112.3309,110.9403,112.1928,795397
2017-12-07,111.9068,112.3703,111.394,111.9956,689838
2017-12-08,112.0054,112.1435,111.2953,111.6405,590326
2017-12-11,111.4433,111.5025,110.4571,111.246,599894
2017-12-12,111.5518,111.9956,110.6346,111.8378,901337
2017-12-13,111.7096,112.1041,111.3348,111.6011,974282
2017-12-14,111.7293,112.4049,111.3249,111.7983,812613
2017-12-15,112.4591,113.3151,111.6307,112.5676,1596866
2017-12-18,111.9857,113.7264,111.0981,112.6859,1264888
2017-12-19,113.5242,114.2244,113.2382,113.8595,1165237
2017-12-20,113.6919,114.2234,112.7648,113.4059,982497
2017-12-21,113.7806,113.8891,112.9621,113.0804,574326
2017-12-22,113.5144,113.7905,112.824,113.3664,396061
2017-12-26,113.3664,113.8694,113.0903,113.4256,406473
2017-12-27,113.6426,113.9877,112.6958,113.0015,434774
2017-12-28,113.2777,113.4059,112.469,112.7845,536447
2017-12-29,112.5183,113.1642,111.9463,111.9463,416550
2018-01-02,111.9167,112.4196,110.4176,110.5655,845826
2018-01-03,110.6839,110.8811,109.8357,110.102,818843
2018-01-04,110.6346,111.177,110.2894,110.8713,679678
2018-01-05,111.0093,111.5814,110.0823,111.4038,767058
2018-01-08,111.6701,113.0508,111.4433,112.4887,869733
2018-01-09,112.5972,112.8651,112.0843,112.2125,584442
2018-01-10,109.8062,110.4472,108.0605,109.2933,1309696
2018-01-11,109.2243,109.2637,108.317,108.5734,764272
2018-01-12,108.7608,108.9481,107.7252,107.7647,621443
2018-01-16,105.8317,107.7844,105.7725,106.7982,1641085
2018-01-17,107.0053,108.1493,106.6108,107.4294,1509757
2018-01-18,107.5576,107.7647,106.1078,106.3051,700136
2018-01-19,106.6601,108.0408,106.6206,107.8633,1046550
2018-01-22,107.9027,108.4846,107.6463,108.4452,1137268
2018-01-23,108.5635,109.7075,108.2972,109.2835,762757
2018-01-24,108.8791,109.461,108.2282,108.7903,910022
2018-01-25,108.958,110.0428,108.6515,109.6977,562935
2018-01-26,110.0133,110.2697,109.1158,109.5399,1116201
2018-01-29,109.2243,109.5201,108.1394,108.1592,798644
2018-01-30,107.7449,108.8397,107.4885,108.0211,862583
2018-01-31,107.8929,109.4018,107.8732,108.8101,1254702
2018-02-01,103.9973,104.7863,101.3838,102.3404,3156432
2018-02-02,100.9203,103.8394,100.7329,101.5515,2333373
2018-02-05,101.4232,101.8473,98.79,98.79,1878088
2018-02-06,98.1095,100.3384,97.4892,99.8946,2550984
2018-02-07,99.6086,99.9341,97.6657,97.6756,1664127
2018-02-08,97.9715,98.4843,96.2752,96.3047,1824004
2018-02-09,97.0641,98.9084,96.4872,98.2969,1898493
2018-02-12,98.6224,99.0958,97.9616,98.4054,1234200
2018-02-13,97.9222,98.5879,97.2121,98.1687,1130587
2018-02-14,97.4488,98.1983,96.7485,97.6559,955810
2018-02-15,97.7644,99.5691,96.8077,99.4015,982582
2018-02-16,99.0169,99.4409,97.6361,99.3226,2472142
2018-02-20,99.0464,99.1648,98.1884,98.5238,1153819
2018-02-21,98.366,98.938,96.5217,96.5414,1166876
2018-02-22,95.1871,97.4707,94.5318,96.3786,1200269
2018-02-23,96.319,97.019,95.6836,96.2594,1252465
2018-02-26,96.3885,97.7984,96.2594,97.3019,881279
2018-02-27,97.4409,98.7406,97.0934,97.4906,1492926
2018-02-28,98.0267,98.4735,97.4608,97.5601,1309095
2018-03-01,97.5005,98.404,96.3488,97.1034,1220208
2018-03-02,96.6466,98.543,96.6466,98.1657,973721
2018-03-05,97.8083,98.7883,97.8083,98.7416,1210353
2018-03-06,98.7416,98.9104,97.9672,98.6622,1009443
2018-03-07,97.6991,99.1686,97.3814,99.1686,1009682
2018-03-08,99.2877,99.6352,98.2253,98.9402,951151
2018-03-09,99.0991,99.6451,98.5927,99.6451,647903
2018-03-12,99.804,101.0947,99.804,100.2806,818424
2018-03-13,100.6182,101.472,100.1316,101.0749,1246943
2018-03-14,101.1047,102.2663,100.7671,100.9557,994833
2018-03-15,101.2139,101.9486,99.7742,100.221,1218463
2018-03-16,100.4295,101.0749,99.3175,100.3004,2293211
2018-03-19,100.2111,100.6877,98.9998,99.3572,1146600
2018-03-20,99.5558,100.221,99.1388,99.6153,777609
2018-03-21,98.6125,98.6622,96.6665,97.7686,1492455
2018-03-22,97.58,98.6026,96.319,96.3587,996843
2018-03-23,96.6069,97.848,95.2368,95.3758,1418192
2018-03-26,96.2197,97.4509,95.6147,97.3218,1085295
2018-03-27,97.3814,98.1161,96.6466,97.0934,1032510
2018-03-28,97.3516,98.7317,97.3516,97.5502,1063730
2018-03-29,97.987,98.8111,97.8083,98.2551,896879
2018-04-02,97.8381,97.987,95.8226,96.3488,804347
2018-04-03,96.9346,97.5005,96.1006,97.1133,848251
2018-04-04,96.5573,100.3501,96.5573,99.8834,1331007
2018-04-05,100.2806,100.2806,98.3306,98.9898,1039035
2018-04-06,98.6721,99.9132,97.5998,98.1459,774034
2018-04-09,98.4636,99.665,97.4211,98.6523,744825
2018-04-10,96.5176,97.2622,94.8495,95.1772,2470351
2018-04-11,95.1077,96.4679,94.9885,95.9616,1027776
2018-04-12,96.1899,96.3091,94.4226,94.8893,776844
2018-04-13,94.9786,95.6041,94.6808,95.2765,708977
2018-04-16,95.0978,96.4878,94.78,96.1105,1108571
2018-04-17,96.2892,96.6069,95.5545,96.0112,774712
2018-04-18,95.8722,96.0013,94.6261,94.6609,1100933
2018-04-19,94.4226,94.512,92.3872,92.8936,1851475
2018-04-20,93.0425,93.7474,91.4043,91.8213,1828941
2018-04-23,92.0596,92.7645,91.6526,92.5163,1284194
2018-04-24,92.8042,93.1616,91.2653,92.1092,1607941
2018-04-25,91.9404,93.5787,91.8512,92.8737,1364282
2018-04-26,92.3475,93.8269,90.75,92.6255,3524494
2018-04-27,91.6326,93.4496,91.3745,92.7149,1774020
2018-04-30,92.9035,93.3304,91.1958,91.2851,1287748
2018-05-01,91.3447,91.5333,90.2327,90.6695,1418555
2018-05-02,90.044,90.5275,88.8327,88.9022,2257121
2018-05-03,89.3689,89.8454,88.4663,89.0611,1728352
2018-05-04,89.0511,91.5631,88.8625,91.1263,1236467
2018-05-07,91.2454,91.3348,90.5405,91.0071,1270297
2018-05-08,90.6,91.861,90.3022,91.4936,1395439
2018-05-09,91.7319,92.2184,91.3207,91.9503,903270
2018-05-10,92.278,92.6473,91.9404,92.2283,729972
2018-05-11,92.3376,93.0028,91.5035,91.8014,704364
2018-05-14,91.6624,92.0099,91.5929,91.8808,898132
2018-05-15,91.2057,93.6184,90.0242,91.9901,2542018
2018-05-16,92.278,93.0028,92.0893,92.973,1709366
2018-05-17,92.9432,93.1893,91.6028,91.9404,1117299
2018-05-18,91.2752,91.7667,89.3887,90.8383,1681020
2018-05-21,91.0667,91.5929,90.5504,91.4043,1021354
2018-05-22,91.5333,92.0198,90.7589,90.9972,816745
2018-05-23,90.9872,91.5035,90.5405,91.444,1040458
2018-05-24,91.62,92.21,90.83,91.67,809419
2018-05-25,91.66,93.24,91.59,92.03,1401861
2018-05-29,91.75,92.37,91.23,91.59,1124781
2018-05-30,91.73,92.13,91.26,91.6,1677302
2018-05-31,91.63,91.63,89.68,90.04,2342060
