date,open,high,low,close,volume
2017-09-07,117.7723,118.7442,116.9194,117.1177,891834
2017-09-08,117.1078,118.0202,116.8202,117.3061,688970
2017-09-11,119.131,123.2964,118.5359,122.8303,1724152
2017-09-12,123.4749,125.2799,123.2468,123.6138,1402072
2017-09-13,123.6336,125.1113,123.4154,124.5659,1284967
2017-09-14,124.5659,125.4807,124.0389,125.2818,1220473
2017-09-15,125.5801,127.1057,124.5858,126.5644,1617766
2017-09-18,127.7675,130.9095,127.4295,130.2732,1694545
2017-09-19,130.7504,134.489,130.472,133.8825,1990943
2017-09-20,134.5188,136.1694,133.3157,135.3043,2917297
2017-09-21,135.7219,135.7219,133.3157,134.1211,2017905
2017-09-22,133.6339,134.1112,132.5004,133.5245,1324237
2017-09-25,131.526,131.8939,126.5843,128.1553,2642543
2017-09-26,128.2647,129.1695,126.6838,127.688,1422092
2017-09-27,128.4238,130.3726,128.1504,129.2789,1235632
2017-09-28,129.8257,131.7945,129.4579,131.5658,1300142
2017-09-29,132.043,136.6964,131.7447,135.533,2103581
2017-10-02,135.4734,136.0998,133.0721,135.8413,1180344
2017-10-03,136.4378,137.0444,135.543,136.6367,889375
2017-10-04,137.114,137.8,136.3086,137.4321,1113087
2017-10-05,137.8895,139.3059,137.4421,138.8639,820005
2017-10-06,134.9166,136.4378,133.7731,136.408,1988359
2017-10-09,136.766,137.3128,134.4592,135.7717,893437
2017-10-10,136.4577,137.3625,135.0559,136.9847,832396
2017-10-11,137.2134,137.4321,135.5927,136.6367,1205423
2017-10-12,136.2191,137.5415,136.1793,136.5174,932021
2017-10-13,137.9591,138.685,136.7461,138.148,906376
2017-10-16,139.0429,140.4996,137.8199,139.3611,1332644
2017-10-17,139.8682,139.898,138.0983,138.6154,1049207
2017-10-18,139.2617,139.4804,138.506,138.8639,720535
2017-10-19,137.4321,138.7247,136.3682,138.6949,798724
2017-10-20,139.898,140.4846,139.2617,139.9776,925475
2017-10-23,140.1963,140.5935,136.9847,137.7404,1535471
2017-10-24,138.1083,138.685,137.0742,137.9293,1332839
2017-10-25,138.7048,139.6395,136.0998,137.7105,1699494
2017-10-26,138.6054,138.9624,136.8157,138.2475,1375894
2017-10-27,138.8441,139.1722,137.0841,138.2872,1204760
2017-10-30,138.2872,139.371,137.7404,138.7148,834834
2017-10-31,138.2276,140.0869,138.2276,140.0869,1576348
2017-11-01,141.1906,141.6082,140.0472,141.5187,907500
2017-11-02,141.6877,142.871,134.837,136.1296,2363993
2017-11-03,135.7717,139.5499,134.4791,139.2418,1395318
2017-11-06,139.4406,141.1906,139.3412,141.1608,951093
2017-11-07,141.1906,142.7517,141.0514,142.3142,1560643
2017-11-08,142.7119,144.1636,141.6877,143.7559,1750031
2017-11-09,141.3,141.6231,135.6126,140.0372,2588518
2017-11-10,140.2162,141.8767,139.6196,139.8185,1056337
2017-11-13,138.7446,142.8412,138.7247,142.5528,949250
2017-11-14,138.7247,138.8242,136.0302,136.8654,1715612
2017-11-15,96.41,97.66,96.14,96.95,857123
2017-11-16,134.7276,135.9705,133.9123,134.5586,1915163
2017-11-17,135.1453,135.543,133.8726,135.4336,1441710
2017-11-20,135.2248,135.4237,134.2404,134.6282,1009318
2017-11-21,135.5131,136.9349,135.2745,135.9208,958517
2017-11-22,136.9648,137.0543,134.3995,134.4791,715372
2017-11-24,134.837,136.7262,134.7276,136.2788,415525
2017-11-27,136.2788,136.5671,135.4137,135.4535,773901
2017-11-28,135.9805,136.756,135.1254,136.1097,690668
2017-11-29,136.3682,136.3682,129.8854,131.1979,1529706
2017-11-30,131.2774,134.0416,131.009,133.5544,1290966
2017-12-01,134.0913,134.6282,129.2689,131.3967,1240256
2017-12-04,132.6694,133.1368,128.4347,128.6127,1595558
2017-12-05,127.7675,129.5076,126.4551,127.2605,1414348
2017-12-06,126.8031,127.4693,125.59,126.7534,1675339
2017-12-07,126.3358,129.8009,126.2761,128.3442,979493
2017-12-08,129.1894,131.0985,129.1447,129.8556,1557311
2017-12-11,130.2135,131.3967,129.428,130.3925,970922
2017-12-12,130.2533,130.3726,129.3783,129.6169,1025820
2017-12-13,129.6269,130.3527,129.0403,129.3584,960768
2017-12-14,128.88,129.6376,127.1058,127.1656,1015160
2017-12-15,129.0196,131.6111,128.571,129.1492,2133742
2017-12-18,131.1177,132.3786,130.7041,131.651,1387573
2017-12-19,132.3388,132.558,131.1726,131.5912,1047123
2017-12-20,131.9799,132.3786,130.8735,130.9034,832288
2017-12-21,130.8087,131.5414,128.0527,128.2321,1102100
2017-12-22,127.7088,129.0395,127.5843,128.8701,781521
2017-12-26,128.8202,128.9797,127.6441,128.6209,327031
2017-12-27,128.581,129.1791,127.7637,128.0129,667782
2017-12-28,128.1325,128.3916,126.9513,128.0328,998225
2017-12-29,128.3518,128.7804,127.1058,127.4746,714604
2018-01-02,128.5112,131.4816,128.0727,131.1028,1118561
2018-01-03,131.6111,133.505,130.1957,131.3619,1042125
2018-01-04,131.8205,132.5281,129.6874,129.797,820939
2018-01-05,130.6144,132.3587,130.0861,131.2922,807161
2018-01-08,133.8638,138.2196,133.1462,137.0036,1945185
2018-01-09,137.0733,137.5318,134.5715,135.0001,1198130
2018-01-10,134.6712,134.8107,131.8603,132.5281,884639
2018-01-11,132.867,134.3213,132.1693,134.2525,838380
2018-01-12,134.8904,135.3689,132.6577,133.0863,990097
2018-01-16,133.6744,134.4319,125.2917,127.5843,2879578
2018-01-17,128.7804,129.0295,125.5936,126.5377,2016991
2018-01-18,114.8258,118.3643,112.1745,117.527,8622302
2018-01-19,118.5138,119.0122,115.1249,115.6332,4275098
2018-01-22,115.4039,115.5535,112.6928,113.1613,3648008
2018-01-23,113.9387,114.6265,111.7559,112.633,2972124
2018-01-24,113.6297,113.7892,111.6761,112.0349,2727521
2018-01-25,112.2941,116.5602,112.2941,116.5203,2499828
2018-01-26,116.62,117.4323,113.6397,114.0384,1916729
2018-01-29,113.859,114.0882,110.9485,111.3173,2250814
2018-01-30,112.015,113.3706,110.6893,111.0083,2146009
2018-01-31,111.4867,111.716,109.8919,111.2276,2606203
2018-02-01,110.5597,111.2076,108.6061,108.8453,1962034
2018-02-02,108.1675,108.7656,104.5792,105.1673,2738581
2018-02-05,103.9413,109.543,102.5159,104.8085,3837970
2018-02-06,103.1738,108.1674,102.9744,107.1907,2903894
2018-02-07,107.111,109.1244,106.2139,106.2837,1668253
2018-02-08,106.5927,108.3469,104.7985,104.8384,2377485
2018-02-09,105.6557,108.3569,103.413,107.3701,2573841
2018-02-12,108.9251,111.7857,108.6559,111.2276,2637077
2018-02-13,111.2375,112.2343,107.7329,108.0978,2763450
2018-02-14,106.8319,111.7957,106.2837,111.3571,2052269
2018-02-15,112.0648,114.2776,111.0182,114.2377,1760152
2018-02-16,113.9886,114.2178,111.5964,111.8754,1669248
2018-02-20,111.6362,115.0152,111.6362,114.2078,1431724
2018-02-21,114.9753,116.1216,112.5034,112.6429,1775001
2018-02-22,113.5101,114.3772,112.7875,113.3108,1021920
2018-02-23,115.4638,118.444,115.2345,118.3643,2142290
2018-02-26,113.9786,114.5268,106.7721,109.7424,7151964
2018-02-27,110.2009,112.7327,110.2009,111.2076,2665690
2018-02-28,112.2343,112.5333,98.6087,100.1038,6717188
2018-03-01,100.9411,100.9809,94.3924,95.6982,7170806
2018-03-02,95.3792,95.5387,90.1961,94.7114,5718042
2018-03-05,93.914,97.3428,93.1963,96.1268,2503289
2018-03-06,98.0804,100.5623,97.4724,99.8147,3587430
2018-03-07,98.6784,100.2952,98.2598,99.725,1567896
2018-03-08,99.8347,101.0208,98.3296,98.9575,1274365
2018-03-09,99.3861,102.0873,98.7582,101.4295,1510621
2018-03-12,101.6587,103.6323,101.27,102.6555,1508963
2018-03-13,102.6655,104.0509,102.2169,102.795,1373073
2018-03-14,103.13,104.31,100.1,100.33,1965720
2018-03-15,100.53,100.93,97.85,98.07,1506883
2018-03-16,97.91,98.81,96.5,98.37,2101782
2018-03-19,97.57,98.0,95.812,96.91,1186260
2018-03-20,96.96,96.96,94.0,95.32,3660049
2018-03-21,95.68,98.77,94.61,97.47,1780347
2018-03-22,96.31,97.7,94.05,94.11,1536165
2018-03-23,94.0,95.58,93.03,93.24,1356673
2018-03-26,94.57,95.33,93.14,94.36,1691644
2018-03-27,94.78,95.75,92.81,93.43,1644717
2018-03-28,93.43,93.84,89.282,89.56,2906311
2018-03-29,90.46,93.69,90.05,92.74,2275749
2018-04-02,92.05,92.45,88.63,88.96,1919757
2018-04-03,89.58,90.65,87.56,90.42,1883826
2018-04-04,87.78,91.64,86.75,91.6,2281030
2018-04-05,92.28,98.49,91.86,95.77,2884327
2018-04-06,94.51,95.62,91.23,91.8,2707922
2018-04-09,92.77,92.77,90.78,91.22,1161478
2018-04-10,92.87,93.63,91.68,92.33,1480307
2018-04-11,91.84,93.99,91.21,93.31,1072775
2018-04-12,93.65,94.09,92.32,93.39,1185371
2018-04-13,96.14,96.44,94.44,95.5,1999271
2018-04-16,96.45,97.5748,94.54,96.87,1415807
2018-04-17,97.64,97.9599,95.84,96.63,1164197
2018-04-18,97.26,99.78,97.0501,98.79,1145685
2018-04-19,99.0,99.7,96.92,98.59,1526433
2018-04-20,98.23,98.315,97.105,97.75,912310
2018-04-23,97.67,98.5,97.03,97.34,804855
2018-04-24,97.85,98.5,94.11,95.78,1328573
2018-04-25,95.8,96.22,94.48,95.46,870795
2018-04-26,95.84,97.31,94.56,96.55,1030420
2018-04-27,96.41,97.66,96.14,96.95,857223
2018-04-30,96.96,98.84,96.71,96.96,1441949
2018-05-01,96.27,97.62,95.66,97.62,1221587
2018-05-02,97.6,99.77,97.56,97.84,1398328
2018-05-03,97.85,99.24,96.51,97.89,1384027
2018-05-04,97.61,100.78,97.5201,100.06,1294627
2018-05-07,100.11,102.38,99.69,100.11,1388214
2018-05-08,100.0,101.39,99.5,100.72,1680616
2018-05-09,101.72,102.769,100.17,101.75,1934866
2018-05-10,101.46,101.89,96.64,98.39,3860677
2018-05-11,98.0,99.03,97.76,98.54,1683234
2018-05-14,99.3,101.13,98.98,99.24,1525206
2018-05-15,99.08,101.75,98.03,100.81,1728376
2018-05-16,101.15,102.9,101.0684,102.35,1545807
2018-05-17,102.62,105.87,102.5,104.8,2770397
2018-05-18,105.0,106.3,104.15,104.92,2305822
2018-05-21,105.5,106.4,103.51,104.07,1853949
2018-05-22,104.54,105.14,102.13,102.34,1034258
2018-05-23,101.34,102.25,100.8,101.84,907212
2018-05-24,99.58,99.97,94.95,95.02,3516922
2018-05-25,94.4,95.31,93.37,94.82,1742042
2018-05-29,94.58,94.79,92.61,93.03,1612172
2018-05-30,93.59,94.45,93.0,93.59,1241027
2018-05-31,93.56,94.32,93.25,93.47,1430047
