date,open,high,low,close,volume
2017-08-17,72.5555,72.8415,71.392,71.392,22977519
2017-08-18,71.2638,71.8259,70.9285,71.4807,18761491
2017-08-21,71.461,71.4709,70.7017,71.1455,17734767
2017-08-22,71.3427,72.2203,71.3427,72.1414,14343674
2017-08-23,71.9442,72.1315,71.5202,71.7075,13766507
2017-08-24,71.7272,71.8456,71.0666,71.6779,17098282
2017-08-25,71.8456,72.3287,71.4709,71.8061,12794301
2017-08-28,72.0428,72.0724,71.5399,71.816,14569715
2017-08-29,71.2441,72.1414,71.0468,72.0329,11478382
2017-08-30,71.9935,73.1767,71.8153,72.9796,16897801
2017-08-31,72.9993,73.9163,72.7725,73.729,27652811
2017-09-01,73.6698,73.6994,72.6147,72.9105,21736161
2017-09-05,72.3189,72.8612,71.9639,72.5851,22242384
2017-09-06,72.7133,73.0091,72.3287,72.3781,16535785
2017-09-07,72.6542,73.5613,72.5753,73.305,17471200
2017-09-08,73.2951,73.4036,72.8119,72.95,14703816
2017-09-11,73.2754,73.9015,73.2754,73.7191,17910383
2017-09-12,73.7191,74.1924,73.3345,73.6402,14394850
2017-09-13,73.8868,74.1826,73.512,74.1629,13380802
2017-09-14,73.9558,74.439,73.4825,73.729,15733914
2017-09-15,73.7881,74.3403,73.0387,74.2615,38578441
2017-09-18,74.1826,74.9123,73.9952,74.1135,23306959
2017-09-19,74.1629,74.6559,73.9656,74.3896,16093344
2017-09-20,74.3009,74.4981,73.2754,73.8966,21587878
2017-09-21,74.0642,74.1924,73.0782,73.1768,19186140
2017-09-22,72.9598,73.4726,72.8218,73.374,14111365
2017-09-25,73.0584,73.2162,71.9047,72.24,24149163
2017-09-26,72.6443,72.7823,71.9738,72.24,18019577
2017-09-27,72.526,73.1373,72.1513,72.8218,19565135
2017-09-28,72.5161,72.9401,72.2893,72.8415,10883787
2017-09-29,72.9105,73.4972,72.8514,73.4529,17079114
2017-10-02,73.6698,73.9656,73.2606,73.5712,15304762
2017-10-03,73.6304,73.8374,73.162,73.2261,12190403
2017-10-04,72.9697,73.6797,72.6837,73.6501,13317681
2017-10-05,74.1727,75.0602,73.9163,74.9123,21195261
2017-10-06,74.6164,74.9714,74.4883,74.9419,13959814
2017-10-09,74.9123,75.4842,74.8038,75.2278,11386502
2017-10-10,75.2673,75.5631,75.0799,75.2278,13944545
2017-10-11,75.2968,75.3954,74.8925,75.356,15388898
2017-10-12,75.425,76.2139,75.3067,76.0463,16876538
2017-10-13,76.5097,76.7858,76.2139,76.4111,15335742
2017-10-16,76.3421,76.7267,76.2731,76.5689,12380093
2017-10-17,76.3914,76.5393,76.1744,76.5097,16823989
2017-10-18,76.5886,76.7661,76.2928,76.5294,13300701
2017-10-19,76.49,76.845,76.2731,76.8253,15092758
2017-10-20,77.2296,77.8705,77.1309,77.7127,22866426
2017-10-23,77.8902,78.2353,77.6634,77.7324,20627173
2017-10-24,77.8015,78.0973,77.3676,77.762,17517182
2017-10-25,77.4859,77.9987,76.9239,77.5352,20410808
2017-10-26,78.0973,78.3142,77.6536,77.6634,32120717
2017-10-27,83.1953,84.9998,82.4459,82.6431,71066729
2017-10-30,82.5346,83.1509,81.9479,82.722,31756653
2017-10-31,83.1855,83.1855,81.9529,82.0219,27086575
2017-11-01,82.5149,82.5938,81.7261,82.0219,22307371
2017-11-02,82.1895,83.2841,81.9627,82.8798,23992945
2017-11-03,82.9094,83.3629,82.2388,82.9685,17633543
2017-11-06,83.0277,83.5207,82.9118,83.2939,19860852
2017-11-07,83.5897,83.7179,82.7614,83.0967,17939727
2017-11-08,82.9685,83.432,82.6628,83.3827,18034170
2017-11-09,82.9389,83.0967,81.7458,82.9192,21171550
2017-11-10,82.6234,82.9241,82.0712,82.7023,19397793
2017-11-13,82.4952,82.7713,82.298,82.7614,14196896
2017-11-14,82.3374,82.9291,81.8247,82.8798,18801280
2017-11-15,82.7212,82.9392,81.9482,82.2356,19383102
2017-11-16,82.3545,82.6717,82.196,82.4536,20962750
2017-11-17,82.3743,82.3743,81.5022,81.6608,22078993
2017-11-20,81.6608,81.8491,81.5122,81.7896,16314978
2017-11-21,81.9978,83.0879,81.9978,82.969,21237454
2017-11-22,83.078,83.1473,82.2951,82.3644,20553089
2017-11-24,82.2653,82.6816,82.0374,82.5131,7425603
2017-11-27,82.5626,83.2266,82.5527,83.1176,18265242
2017-11-28,83.3158,84.2969,83.2663,84.1186,21925959
2017-11-29,83.9501,84.1554,82.4289,82.5924,27381109
2017-11-30,82.7608,83.7618,82.5924,83.4149,33054647
2017-12-01,82.85,84.0492,82.4734,83.5041,29532132
2017-12-04,83.6627,83.6725,79.9761,80.3526,39094880
2017-12-05,80.6103,81.9383,80.2536,80.8581,26152261
2017-12-06,80.8184,82.3942,80.6995,82.0374,26162054
2017-12-07,81.7995,82.0572,81.2644,81.75,23184547
2017-12-08,82.8798,83.8212,82.5825,83.405,24489106
2017-12-11,83.5338,84.6042,83.3654,84.4654,22857854
2017-12-12,84.5447,85.2781,84.3168,84.8123,23924105
2017-12-13,84.9708,85.2285,84.406,84.5843,22062679
2017-12-14,84.6636,85.1035,83.7717,83.9303,19305961
2017-12-15,84.4951,86.3087,84.1186,86.0709,53936687
2017-12-18,86.3385,86.715,85.4564,85.6051,22283752
2017-12-19,85.5754,85.5754,84.5051,85.06,23524787
2017-12-20,85.4267,85.5258,83.9501,84.7528,23674931
2017-12-21,85.2781,85.3276,84.6339,84.733,17990745
2017-12-22,84.6339,84.8618,84.1582,84.7429,14145841
2017-12-26,84.5447,84.7673,84.2672,84.6339,9891237
2017-12-27,84.8816,85.2087,84.4506,84.9411,14678025
2017-12-28,85.1294,85.1591,84.7825,84.951,10594344
2017-12-29,84.8618,85.2781,84.733,84.7726,18717406
2018-01-02,85.3524,85.5357,84.733,85.179,22483797
2018-01-03,85.283,85.7339,85.1988,85.5754,26061439
2018-01-04,85.8132,86.8736,85.7934,86.3286,21911974
2018-01-05,86.8736,87.6169,86.6457,87.3989,23407110
2018-01-08,87.4088,87.7854,86.8187,87.4881,22113049
2018-01-09,87.8547,87.9312,87.0718,87.4286,19484317
2018-01-10,87.0718,87.3989,86.6259,87.0322,18652201
2018-01-11,87.3394,87.3394,86.4574,87.2899,17808877
2018-01-12,87.8746,88.9746,87.6565,88.7962,24271531
2018-01-16,89.2917,89.9755,87.2209,87.5574,36599736
2018-01-17,88.2809,89.4701,87.9538,89.3314,25621164
2018-01-18,88.9944,89.8566,88.8557,89.2917,24159683
2018-01-19,89.3314,89.7972,88.8557,89.1926,36875013
2018-01-22,89.1926,90.7981,88.935,90.7882,23601555
2018-01-23,91.0756,91.472,90.7188,91.0756,23412841
2018-01-24,91.7198,92.5919,90.7585,90.9963,33277483
2018-01-25,91.6355,92.4036,91.1053,91.5017,26383238
2018-01-26,92.2846,93.2162,91.7495,93.2162,29172167
2018-01-29,94.2865,94.5937,92.8793,93.0775,31569940
2018-01-30,92.463,92.8198,91.2738,91.908,38635053
2018-01-31,92.909,94.5442,92.6711,94.1577,48756338
2018-02-01,93.9397,95.2082,92.7418,93.4144,47227882
2018-02-02,92.8,93.127,90.6792,90.9567,47867753
2018-02-05,89.7476,92.4036,87.2106,87.2106,51031465
2018-02-06,86.1105,90.6544,84.4852,90.5107,67998564
2018-02-07,89.6782,90.9467,88.3998,88.8061,41107592
2018-02-08,88.9052,89.0687,83.9996,84.2474,55628657
2018-02-09,85.5258,88.1322,83.078,87.389,63499065
2018-02-12,87.939,88.9746,87.1407,88.3304,35720341
2018-02-13,88.1322,89.1926,87.0124,89.0242,26407702
2018-02-14,88.128,90.5973,88.0284,90.4181,34960912
2018-02-15,90.8163,92.3198,90.2289,92.2601,27823866
2018-02-16,92.051,93.0965,91.4038,91.6029,30596919
2018-02-20,91.0802,92.6584,90.6172,92.3198,30911725
2018-02-21,92.5787,92.9566,91.0951,91.0951,26922503
2018-02-22,91.6527,92.3298,90.9657,91.3341,24392753
2018-02-23,92.3497,93.664,91.9614,93.654,26329226
2018-02-26,93.9926,95.038,93.8432,95.0082,30199846
2018-02-27,95.3268,95.4264,93.7934,93.7934,25869119
2018-02-28,94.4307,95.2919,93.2259,93.3653,31167338
2018-03-01,93.5843,94.1618,91.4436,92.4493,37135561
2018-03-02,91.1847,92.748,90.4678,92.6484,32830389
2018-03-05,91.9415,93.8631,91.8618,93.2358,23901578
2018-03-06,93.9328,94.0822,92.5399,92.9172,22175776
2018-03-07,92.7579,93.5352,92.0311,93.4549,26716127
2018-03-08,93.8631,94.6895,93.3603,94.0224,25887828
2018-03-09,94.8787,96.1233,94.59,96.1233,36937254
2018-03-12,96.0835,96.7904,95.6255,96.3523,26073742
2018-03-13,96.5813,96.8203,93.5644,94.0025,35387817
2018-03-14,94.7095,94.9982,93.0965,93.4449,32131981
2018-03-15,93.1263,94.1718,92.4293,93.7735,27610998
2018-03-16,94.2714,94.9683,93.5146,94.1917,49081279
2018-03-19,93.3354,93.4947,91.7125,92.4891,33344085
2018-03-20,92.6484,93.3653,92.5986,92.7281,23075240
2018-03-21,92.5289,93.6441,91.812,92.0809,24457082
2018-03-22,90.8711,91.354,89.273,89.4025,38604715
2018-03-23,89.1137,90.0696,86.7042,86.8037,44068949
2018-03-26,90.2189,93.5943,90.0098,93.3752,56396780
2018-03-27,94.5302,94.7284,88.128,89.0838,56569011
2018-03-28,89.4323,90.8363,88.4894,89.0042,52501146
2018-03-29,89.7908,91.8917,88.0185,90.8761,45867548
2018-04-02,90.0795,90.4878,87.1323,88.1379,48515417
2018-04-03,89.1884,89.6613,87.5107,89.3228,37213837
2018-04-04,87.4708,92.3596,87.3514,91.9315,35559956
2018-04-05,92.0361,92.6633,91.0055,91.9813,29771881
2018-04-06,91.0951,92.0609,89.0938,89.8406,38026000
2018-04-09,90.6471,92.7679,90.2289,90.3782,31533943
2018-04-10,91.9912,92.8774,91.2445,92.4791,26939883
2018-04-11,91.6129,92.8874,91.0852,91.4635,24872110
2018-04-12,92.0311,93.7536,92.0311,93.1761,26758879
2018-04-13,93.6441,93.7735,92.041,92.6783,23346063
2018-04-16,93.664,94.2514,93.0168,93.7636,20288083
2018-04-17,94.59,96.1233,94.4705,95.6554,26771000
2018-04-18,95.8047,96.3026,95.1077,96.0238,21043287
2018-04-19,96.0238,96.651,94.9285,95.6952,23552541
2018-04-20,95.4961,95.6952,93.6441,94.59,31154377
2018-04-23,95.3304,95.8744,94.2216,94.9385,22331829
2018-04-24,95.8266,96.0536,92.0112,92.7181,34524799
2018-04-25,92.8973,92.8973,89.8904,91.9116,33729257
2018-04-26,93.1462,94.7393,92.6982,93.8532,42529043
2018-04-27,97.1788,97.4775,93.5047,95.4064,48272780
2018-04-30,95.9142,95.9804,92.748,93.1164,41523605
2018-05-01,92.8077,94.8787,92.3895,94.59,31408927
2018-05-02,94.58,94.7592,92.7878,93.1064,27471002
2018-05-03,92.5588,94.5153,92.051,93.664,31142497
2018-05-04,92.9172,94.9584,92.519,94.7493,22531325
2018-05-07,94.7592,96.2926,94.6895,95.8047,24242019
2018-05-08,95.4319,95.745,94.6528,95.3965,23484589
2018-05-09,95.5956,96.5515,94.6398,96.5216,27327410
2018-05-10,97.0394,97.5272,96.6311,97.4874,22388119
2018-05-11,97.3779,97.4476,96.6212,97.2783,16778316
2018-05-14,97.4974,98.2641,96.89,97.6069,19454124
2018-05-15,96.8203,97.4277,95.9242,96.9,24594010
2018-05-16,97.36,97.4,96.615,97.15,17384742
2018-05-17,96.76,97.5401,95.83,96.18,17246716
2018-05-18,96.01,96.93,96.01,96.36,17865840
2018-05-21,97.0,98.01,96.8,97.6,19422467
2018-05-22,97.68,98.17,97.2,97.5,15441189
2018-05-23,96.71,98.73,96.32,98.66,21251222
2018-05-24,98.725,98.94,96.81,98.31,26649287
2018-05-25,98.3,98.98,97.86,98.36,18363918
2018-05-29,97.84,98.88,97.23,98.01,28670981
2018-05-30,98.31,99.25,97.91,98.95,22158528
2018-05-31,99.29,99.99,98.61,98.84,34140891
